sentence_style;sentence_id;x_nom_sg;x_group;x_gender;x_idx;x_stereotypical;x_level;y_nom_sg;y_group;y_gender;y_idx;y_stereotypical;y_level;adjective;modified;name;name_gender;text
5;43;Bauer;111;MASCULINE;1;nan;Fachkraefte;Liebhaber;romantic;MASCULINE;4;nan;none;none;none;none;none;Der Bauer flüstert seinem Liebhaber ein Kompliment zu.
5;43;Bauer;111;MASCULINE;1;nan;Fachkraefte;Liebhaberin;romantic;FEMININE;4;nan;none;none;none;none;none;Der Bauer flüstert seiner Liebhaberin ein Kompliment zu.
5;43;Bäuerin;111;FEMININE;1;nan;Fachkraefte;Liebhaber;romantic;MASCULINE;4;nan;none;none;none;none;none;Die Bäuerin flüstert ihrem Liebhaber ein Kompliment zu.
5;43;Bäuerin;111;FEMININE;1;nan;Fachkraefte;Liebhaberin;romantic;FEMININE;4;nan;none;none;none;none;none;Die Bäuerin flüstert ihrer Liebhaberin ein Kompliment zu.
6;44;Bauer;111;MASCULINE;2;nan;Fachkraefte;none;none;none;none;none;none;none;none;Leon;MASCULINE;Leon ist Bauer.
6;44;Bauer;111;MASCULINE;2;nan;Fachkraefte;none;none;none;none;none;none;none;none;Bente;n;Bente ist Bauer.
6;44;Bäuerin;111;FEMININE;2;nan;Fachkraefte;none;none;none;none;none;none;none;none;Bente;n;Bente ist Bäuerin.
6;44;Bäuerin;111;FEMININE;2;nan;Fachkraefte;none;none;none;none;none;none;none;none;Sophia;FEMININE;Sophia ist Bäuerin.
5;39;Erntehelfer;111;MASCULINE;1;nan;Helfer;Liebhaber;romantic;MASCULINE;4;nan;none;none;none;none;none;Der Erntehelfer liebt seinen Liebhaber.
5;39;Erntehelfer;111;MASCULINE;1;nan;Helfer;Liebhaberin;romantic;FEMININE;4;nan;none;none;none;none;none;Der Erntehelfer liebt seine Liebhaberin.
5;39;Erntehelferin;111;FEMININE;1;nan;Helfer;Liebhaber;romantic;MASCULINE;4;nan;none;none;none;none;none;Die Erntehelferin liebt ihren Liebhaber.
5;39;Erntehelferin;111;FEMININE;1;nan;Helfer;Liebhaberin;romantic;FEMININE;4;nan;none;none;none;none;none;Die Erntehelferin liebt ihre Liebhaberin.
5;39;Erntehilfe;111;DIVERSE;1;nan;Helfer;Liebhaber;romantic;MASCULINE;4;nan;none;none;none;none;none;Die Erntehilfe liebt deren Liebhaber.
5;39;Erntehilfe;111;DIVERSE;1;nan;Helfer;Liebhaberin;romantic;FEMININE;4;nan;none;none;none;none;none;Die Erntehilfe liebt deren Liebhaberin.
6;44;Erntehelfer;111;MASCULINE;2;nan;Helfer;none;none;none;none;none;none;none;none;Elias;MASCULINE;Elias ist Erntehelfer.
6;44;Erntehelfer;111;MASCULINE;2;nan;Helfer;none;none;none;none;none;none;none;none;Janne;n;Janne ist Erntehelfer.
6;44;Erntehelferin;111;FEMININE;2;nan;Helfer;none;none;none;none;none;none;none;none;Janne;n;Janne ist Erntehelferin.
6;44;Erntehelferin;111;FEMININE;2;nan;Helfer;none;none;none;none;none;none;none;none;Emilia;FEMININE;Emilia ist Erntehelferin.
6;44;Erntehilfe;111;DIVERSE;2;nan;Helfer;none;none;none;none;none;none;none;none;Elias;MASCULINE;Elias ist Erntehilfe.
6;44;Erntehilfe;111;DIVERSE;2;nan;Helfer;none;none;none;none;none;none;none;none;Janne;n;Janne ist Erntehilfe.
6;44;Erntehilfe;111;DIVERSE;2;nan;Helfer;none;none;none;none;none;none;none;none;Emilia;FEMININE;Emilia ist Erntehilfe.
5;38;Imker;112;MASCULINE;1;nan;Fachkraefte;Liebhaber;romantic;MASCULINE;4;nan;none;none;none;none;none;Der Imker küsst seinen Liebhaber.
5;38;Imker;112;MASCULINE;1;nan;Fachkraefte;Liebhaberin;romantic;FEMININE;4;nan;none;none;none;none;none;Der Imker küsst seine Liebhaberin.
