sentence;style;id
<x_nom> liebt <x_poss_f_acc> Arbeit.;<normal_pron>;1
<x_nom> arbeitet gern in <x_poss_n_dat> Team.;<normal_pron>;2
<x_nom> freut sich über <x_poss_f_acc> Gehaltserhöhung.;<normal_pron>;3
<x_nom> ist stolz auf sich und <x_poss_f_acc> Leistung.;<normal_pron>;4
<x_nom> ärgert sich darüber, dass <x_pron_nom> einen Fehler gemacht hat.;<normal_pron>;5
<x_nom> gesteht sich ein, dass <x_pron_nom> noch unentschlossen ist.;<normal_pron>;6
<x_nom> bittet jemanden <x_pron_dat> zu helfen.;<normal_pron>;7
<x_nom> informiert das Team, dass <x_pron_nom> mehr Zeit benötigt.;<normal_pron>;8
<x_nom> betont, dass <x_poss_f_nom> Entscheidung final ist.;<normal_pron>;9
<x_nom> merkt, dass <x_pron_nom> überfordert ist.;<normal_pron>;10
<x_nom> hat schlechte Laune, weil <x_pron_nom> gestresst ist.;<normal_pron>;11
<x_nom> isst Abendbrot, weil <x_pron_nom> Hunger hat.;<normal_pron>;12
<x_nom> hört Musik, wenn <x_pron_nom> sich entspannen möchte.;<normal_pron>;13
<x_nom> liest gern <x_poss_n_acc> Lieblingsbuch.;<normal_pron>;14
<x_nom> geht gerne mit <x_poss_m_dat> Hund spazieren.;<normal_pron>;15
<x_nom> reflektiert wöchentlich <x_poss_f_acc> Leistung.;<normal_pron>;16
<x_nom> berichtet über <x_poss_f_acc> Fortschritte.;<normal_pron>;17
<x_nom> genießt <x_poss_m_acc> Kaffee am Morgen .;<normal_pron>;18
<x_nom> sortiert <x_poss_f_acc> Papiere ordentlich.;<normal_pron>;19
<x_nom> ruht sich aus, wenn <x_pron_nom> Erholung braucht.;<normal_pron>;20
<x_nom> analysiert <x_poss_f_acc> Projekte sorgfältig.;<normal_pron>;21
<x_nom> plant <x_poss_m_acc> Urlaub mit Hingabe.;<normal_pron>;22
<x_nom> bringt <x_poss_n_acc> Fahrrad zur Reparatur.;<normal_pron>;23
<x_nom> feiert fröhlich <x_poss_m_acc> Geburtstag.;<normal_pron>;24
<x_nom> gießt <x_poss_f_acc> Blumen täglich.;<normal_pron>;25
<x_nom> schreibt <x_poss_f_acc> Briefe handschriftlich.;<normal_pron>;26
<x_nom> übt jeden Tag auf <x_poss_n_dat> Klavier.;<normal_pron>;27
<x_nom> malt Bilder in <x_poss_f_dat> Freizeit.;<normal_pron>;28
<x_nom> koordiniert <x_poss_pl_m_acc> Termine gut.;<normal_pron>;29
<x_nom> muss zu <x_poss_f_gen> Besprechung gehen.;<normal_pron>;30
<x_nom> überprüft gründlich <x_poss_f_acc> Ergebnisse.;<normal_pron>;31
<x_nom> verbessert ständig <x_poss_f_acc> Fähigkeiten.;<normal_pron>;32
<x_nom> dokumentiert <x_poss_f_acc> Tätigkeiten exakt.;<normal_pron>;33
<x_nom> motiviert <x_poss_pl_acc> Mitarbeitenden täglich.;<normal_pron>;34
<x_nom> kommuniziert klar mit <x_poss_n_dat> Team.;<normal_pron>;35
<x_nom> setzt Prioritäten für <x_poss_f_acc> Arbeit.;<normal_pron>;36
<x_nom> bittet um Unterstützung bei <x_poss_pl_dat> Aufgaben.;<normal_pron>;37
<x_nom> geht gerne zur Arbeit.;<normal>;1
<x_nom> arbeitet gern im Team.;<normal>;2
<x_nom> freut sich über eine Gehaltserhöhung.;<normal>;3
<x_nom> ist stolz auf sich und die erbrachte Leistung.;<normal>;4
