Bezeichnung;Code
3-D-Artist	;23224
3-D-Designer/in	;23223
3-D-Druck-Spezialist/in	;27103
Abbrucharbeiter/in	;32101
Abdichter/in (Dachdeckerei)	;33232
Abdichtungspolier/in (Bauwerks- und Asphaltabdichtung)	;33393
Abfallbeauftragte/r	;42324
Abfallberater/in	;42313
Abfallbeseitiger/in	;34301
Abfalltechniker/in	;34333
Abfalltechniker/in in Schulung, Einweisung, Fortbildung	;84483
Abfallwirtschaftsberater/in	;34333
Abfallwirtschaftsingenieur/in	;34334
Abfüller/in	;51311
Abfüllmaschinenbediener/in	;51311
Abgeordnete/r	;71214
Abgleicher/in (Nachrichtentechnik)	;26312
Abiturientenberater/in	;71524
Abkantpresser/in	;24212
Ablauforganisator/in	;71314
Ableser/in (Gas, Strom, Wasser)	;25131
Abnahmefahrer/in	;27312
Abnahmelokomotivführer/in	;52202
Abpacker/in	;51311
Abpackmaschinenbediener/in	;51312
Abraumbaggerführer/in	;52522
Absatz- und Werbewirtschaftler/in	;92113
Absatzplaner/in	;61124
Abschleifer/in (Metallschleifen)	;24222
Abschnittsleiter/in (Sozialversicherung)	;73293
Absetzapparateführer/in	;25122
Absprenger/in (Naturstein)	;21122
Abspüler/in	;63301
ABS-Spezialist/in (Fondsmanager/in)	;72124
Abt/Äbtissin	;83333
Abteilungskellner/in	;63303
Abteilungsleiter/in - Gewerbeaufsicht	;53394
Abteilungsleiter/in - Statistik	;41194
Abteilungsleiter/in (Bauzeichenbüro)	;27293
Abteilungsleiter/in (Brennerei)	;29193
Abteilungsleiter/in (Fleisch - Wurst - Fleischwirtschaft)	;29294
Abteilungsleiter/in (Hüttentechnik)	;24193
Abteilungsleiter/in (Keramische Industrie)	;21493
Abteilungsleiter/in (Korrosionsschutztechnik)	;24393
Abteilungsleiter/in (Kunststoff- u. Kautschuktechnik)	;22193
Abteilungsleiter/in (Kunststoff)	;22193
Abteilungsleiter/in (Lackiererei/Oberflächenbehandlung)	;22293
Abteilungsleiter/in (Maschinenbau)	;25194
Abteilungsleiter/in (Metall- u. Schiffbautechnik)	;24493
Abteilungsleiter/in (Metallographie)	;41494
Abteilungsleiter/in (Milchwirtschaft)	;29294
Abteilungsleiter/in (Musikschule)	;84494
Abteilungsleiter/in (Versicherung)	;72194
Abteilungsleiter/in (Wach- u. Sicherheitsgewerbe)	;53194
Abteilungsleiter-Assistent/in	;71403
Abteilungsmeister/in (Schuhindustrie)	;28393
Abteilungspräsident/in	;73294
Abteilungssteiger/in	;21113
Abwasseranlagenwärter/in	;34312
Abwasserberater/in	;34313
Abwasserkontrolleur/in	;34312
Abwassermeister/in	;34393
Abwassertechniker/in	;34313
Abwassertechniker/in in Schulung, Einweisung, Fortbildung	;84483
Abwieger/in (Versandfertigmacher/in)	;51311
Account Manager/in IT	;43233
Accounting Clerk	;72213
Accounting Manager/in	;72214
Account-Manager/in	;92133
Achatpolierer/in	;93522
Achatschleifer/in	;93522
Achsendreher/in	;24232
Achslagerprüfer/in (Bahn)	;51112
Ackerarbeiter/in	;11101
Ackerbauer/-bäuerin	;11102
Ackergehilf(e/in)	;11101
Action-Darsteller/in	;94214
Ad Sales Manager/in	;92382
ADAS/AD Engineer	;27184
Adremadrucker/in	;23412
Adressendrucker/in	;23412
Aerobic-Gymnastik-Übungsleiter/in	;84553
Aerobic-Lehrer/in	;84553
Aerobic-Trainer/in	;84553
Aerologe/Aerologin	;42144
Affiliate-Manager/in	;92113
Afrikanist/in	;91184
Agenturleiter/in - Versicherung	;72194
Aggregatebauer/in (Elektromaschinen)	;26222
Agiler Coach / Scrum Master	;71393
Agrarbetriebswirt/in	;11193
Agrarbiolog(e/in) (chemisch-pharmazeutischen Industrie)	;41234
Agrarbiolog(e/in) (Lebensmittelindustrie/Agrarbiologin)	;41234
Agrarbiolog(e/in) (Natur- u. Landschaftsschutz)	;41234
Agrarbiologe/-biologin	;41234
Agrarbiologe/-biologin (Uni)	;41234
Agrarfachwirt/in - Rechnungswesen	;72213
Agrarinformatiker/in	;11183
Agrarinformatiktechniker/in	;11183
Agraringenieur/in	;11104
Agraringenieur/in - Pflanzenproduktion	;11184
Agraringenieur/in - Wirtschaftswissenschaften	;11184
Agraringenieur/in (FS) - Landwirt. Pflanzenprodukt.	;11183
Agraringenieur/in (FS) - Landwirt. Tierproduktion	;11213
Agraringenieur/in (FS) - Landwirt. Versuchsw.(Pflanzenprod.)	;11183
