Code;Name;Anforderungsniveau;Männer;Frauen
100;Romantisch;Rom_Männer;x;x
100;Romantisch;Rom_Frauen;x;x
111;Landwirtschaft;Helfer;53420;20120
111;Landwirtschaft;Fachkraefte;38610;10180
111;Landwirtschaft;Spezialisten;5800;2310
111;Landwirtschaft;Experten;6850;3490
112;Tierwirtschaft;Helfer;3340;2130
112;Tierwirtschaft;Fachkraefte;6670;5140
112;Tierwirtschaft;Spezialisten;1620;770
112;Tierwirtschaft;Experten;400;270
113;Pferdewirtschaft;Fachkraefte;3570;7260
113;Pferdewirtschaft;Spezialisten;560;330
113;Pferdewirtschaft;Experten;x;x
114;Fischwirtschaft;Helfer;310;120
114;Fischwirtschaft;Fachkraefte;1140;120
114;Fischwirtschaft;Spezialisten;90;x
114;Fischwirtschaft;Experten;50;x
115;Tierpflege;Helfer;2140;2330
115;Tierpflege;Fachkraefte;6340;10720
115;Tierpflege;Spezialisten;50;x
115;Tierpflege;Experten;80;200
116;Weinbau;Fachkraefte;1970;550
116;Weinbau;Spezialisten;500;90
116;Weinbau;Experten;240;80
117;Forst-,Jagdwirtschaft, Landschaftspflege;Helfer;10320;680
117;Forst-,Jagdwirtschaft, Landschaftspflege;Fachkraefte;12570;1230
117;Forst-,Jagdwirtschaft, Landschaftspflege;Spezialisten;6130;1620
117;Forst-,Jagdwirtschaft, Landschaftspflege;Experten;2850;1650
121;Gartenbau;Helfer;81560;18460
121;Gartenbau;Fachkraefte;100730;24410
121;Gartenbau;Spezialisten;12090;2140
121;Gartenbau;Experten;5950;6930
122;Floristik;Fachkraefte;1220;25310
122;Floristik;Spezialisten;60;490
122;Floristik;Experten;x;70
211;Berg-, Tagebau und Sprengtechnik;Helfer;1360;150
211;Berg-, Tagebau und Sprengtechnik;Fachkraefte;8220;480
211;Berg-, Tagebau und Sprengtechnik;Spezialisten;4630;220
211;Berg-, Tagebau und Sprengtechnik;Experten;2660;420
212;Naturstein-,Mineral-,Baustoffherstell.;Helfer;9480;550
212;Naturstein-,Mineral-,Baustoffherstell.;Fachkraefte;33860;1220
212;Naturstein-,Mineral-,Baustoffherstell.;Spezialisten;1710;180
213;Industrielle Glasherstell.,-verarbeitung;Helfer;6430;2210
213;Industrielle Glasherstell.,-verarbeitung;Fachkraefte;18840;5330
213;Industrielle Glasherstell.,-verarbeitung;Spezialisten;1410;130
214;Industrielle Keramikherstell.,-verarbeit;Helfer;5330;2080
214;Industrielle Keramikherstell.,-verarbeit;Fachkraefte;3790;750
214;Industrielle Keramikherstell.,-verarbeit;Spezialisten;420;50
221;Kunststoff,Kautschukherstell.,verarbeit;Helfer;63780;34520
221;Kunststoff,Kautschukherstell.,verarbeit;Fachkraefte;89870;15390
221;Kunststoff,Kautschukherstell.,verarbeit;Spezialisten;4720;350
221;Kunststoff,Kautschukherstell.,verarbeit;Experten;1260;250
222;Farb- und Lacktechnik;Helfer;4730;770
222;Farb- und Lacktechnik;Fachkraefte;47640;5380
222;Farb- und Lacktechnik;Spezialisten;2040;240
222;Farb- und Lacktechnik;Experten;60;40
223;Holzbe- und -verarbeitung;Helfer;32000;5470
223;Holzbe- und -verarbeitung;Fachkraefte;156380;11890
223;Holzbe- und -verarbeitung;Spezialisten;12590;790
223;Holzbe- und -verarbeitung;Experten;1020;150
231;Papier- und Verpackungstechnik;Helfer;15150;7920
231;Papier- und Verpackungstechnik;Fachkraefte;32940;3910
231;Papier- und Verpackungstechnik;Spezialisten;2500;630
231;Papier- und Verpackungstechnik;Experten;1040;490
232;Technische Mediengestaltung;Fachkraefte;13930;20040
232;Technische Mediengestaltung;Spezialisten;26510;27140
232;Technische Mediengestaltung;Experten;13670;17110
233;Fototechnik und Fotografie;Fachkraefte;3850;4800
233;Fototechnik und Fotografie;Spezialisten;270;140
233;Fototechnik und Fotografie;Experten;50;x
234;Drucktechnik,-weiterverarb.,Buchbinderei;Helfer;12430;7230
234;Drucktechnik,-weiterverarb.,Buchbinderei;Fachkraefte;27370;6970
234;Drucktechnik,-weiterverarb.,Buchbinderei;Spezialisten;2010;830
234;Drucktechnik,-weiterverarb.,Buchbinderei;Experten;280;70
241;Metallerzeugung;Helfer;9630;1150
241;Metallerzeugung;Fachkraefte;69810;5470
241;Metallerzeugung;Spezialisten;2090;60
241;Metallerzeugung;Experten;1240;130
242;Metallbearbeitung;Helfer;172920;50030
242;Metallbearbeitung;Fachkraefte;308920;19770
242;Metallbearbeitung;Spezialisten;25450;1030
242;Metallbearbeitung;Experten;490;80
243;Metalloberflächenbehandlung;Helfer;7720;2310
243;Metalloberflächenbehandlung;Fachkraefte;25570;2020
243;Metalloberflächenbehandlung;Spezialisten;1320;120
243;Metalloberflächenbehandlung;Experten;70;x
244;Metallbau und Schweißtechnik;Helfer;41170;3480
244;Metallbau und Schweißtechnik;Fachkraefte;236990;5630
244;Metallbau und Schweißtechnik;Spezialisten;13460;410
244;Metallbau und Schweißtechnik;Experten;2350;350
245;Feinwerk- und Werkzeugtechnik;Helfer;2600;1950
245;Feinwerk- und Werkzeugtechnik;Fachkraefte;91950;7280
245;Feinwerk- und Werkzeugtechnik;Spezialisten;9640;1040
245;Feinwerk- und Werkzeugtechnik;Experten;1430;200
251;Maschinenbau- und Betriebstechnik;Helfer;127660;53480
251;Maschinenbau- und Betriebstechnik;Fachkraefte;809990;78460
251;Maschinenbau- und Betriebstechnik;Spezialisten;104190;7600
251;Maschinenbau- und Betriebstechnik;Experten;78360;10000
252;Fahrzeug-Luft-Raumfahrt-,Schiffbautechn.;Helfer;24110;2300
252;Fahrzeug-Luft-Raumfahrt-,Schiffbautechn.;Fachkraefte;423930;25610
252;Fahrzeug-Luft-Raumfahrt-,Schiffbautechn.;Spezialisten;44180;1620
252;Fahrzeug-Luft-Raumfahrt-,Schiffbautechn.;Experten;51940;8970
261;Mechatronik und Automatisierungstechnik;Fachkraefte;95140;9560
261;Mechatronik und Automatisierungstechnik;Spezialisten;17540;1060
261;Mechatronik und Automatisierungstechnik;Experten;10880;1010
262;Energietechnik;Fachkraefte;380880;15210
262;Energietechnik;Spezialisten;39280;2150
262;Energietechnik;Experten;12010;2060
263;Elektrotechnik;Helfer;81760;43770
263;Elektrotechnik;Fachkraefte;180320;25400
263;Elektrotechnik;Spezialisten;102650;10840
263;Elektrotechnik;Experten;61570;6900
