Code;Bezeichnung;Niveau;Misc
1;Land-, Forst-, Tierwirtschaft, Gartenbau;;
11;Land-, Tier-, Forstwirtschaftsberufe;;
111;Landwirtschaft;;
1110;Berufe in der Landwirtschaft (o.S.);;
11101;Landwirtschaft (o.S.) - Helfer;Helfer;
11102;Landwirtschaft (o.S.) - Fachkraft;Fachkraefte;
11103;Landwirtschaft (o.S.) - Spezialist;Spezialisten;
11104;Landwirtschaft (o.S.) - Experte;Experten;
1111;Berufe in der Landtechnik;;
11113;Landtechnik - Spezialist;Spezialisten;
11114;Landtechnik - Experte;Experten;
1112;Landwirtschaftliche Sachverständige;;
11123;Landwirtsch.Sachverständige - Spezialist;Spezialisten;
11124;Landwirtschaftl. Sachverständige-Experte;Experten;
1113;Berufe landwirtsch.-techn. Laboratorium;;
11132;Landwirtsch.-tech.Laboratorium-Fachkraft;Fachkraefte;
11133;Landwirtsch.-tech.Laborat.-Spezialist;Spezialisten;
1118;Berufe in der Landwirtschaft (s.s.T.);;
11182;Landwirtschaft (s.s.T.) - Fachkraft;Fachkraefte;
11183;Landwirtschaft (s.s.T.) - Spezialist;Spezialisten;
11184;Landwirtschaft (s.s.T.) - Experte;Experten;
1119;Aufsicht und Führung - Landwirtschaft;;Aufsicht
11193;Aufsicht - Landwirtschaft;;Aufsicht
11194;Führung - Landwirtschaft;;Führung
112;Tierwirtschaft;;
1121;Berufe in der Nutztierhaltung;;
11211;Nutztierhaltung - Helfer;Helfer;
11212;Nutztierhaltung - Fachkraft;Fachkraefte;
11213;Nutztierhaltung - Spezialist;Spezialisten;
11214;Nutztierhaltung - Experte;Experten;
1122;Berufe in der Geflügelhaltung;;
11222;Geflügelhaltung - Fachkraft;Fachkraefte;
11223;Geflügelhaltung - Spezialist;Spezialisten;
1123;Berufe in der Imkerei;;
11232;Imkerei - Fachkraft;Fachkraefte;
11233;Imkerei - Spezialist;Spezialisten;
1128;Berufe in der Tierwirtschaft (s.s.T.);;
11282;Tierwirtschaft (s.s.T.) - Fachkraft;Fachkraefte;
11283;Tierwirtschaft (s.s.T.) - Spezialist;Spezialisten;
1129;Aufsicht und Führung - Tierwirtschaft;;Aufsicht
11293;Aufsicht - Tierwirtschaft;;Aufsicht
11294;Führung - Tierwirtschaft;;Führung
113;Pferdewirtschaft;;
1130;Berufe in der Pferdewirtschaft (o.S.);;
11302;Pferdewirtschaft (o.S.) - Fachkraft;Fachkraefte;
1131;Berufe i.d. Pferdewirtschaft-Pferdezucht;;
11312;Pferdewirtschaft-Pferdezucht - Fachkraft;Fachkraefte;
1132;Berufe in der Pferdewirtschaft - Reiten;;
11322;Pferdewirtschaft-Reiten - Fachkraft;Fachkraefte;
1133;Hufbeschlagschmiede/-schmiedinnen;;
11333;Hufbeschlagschmiede/innen - Spezialist;Spezialisten;
1134;Kutscher/innen;;
11342;Kutscher/innen - Fachkraft;Fachkraefte;
1139;Aufsicht und Führung - Pferdewirtschaft;;Aufsicht
11393;Aufsicht - Pferdewirtschaft;;Aufsicht
11394;Führung - Pferdewirtschaft;;Führung
114;Fischwirtschaft;;
1140;Berufe in der Fischwirtschaft (o.S.);;
11401;Fischwirtschaft (o.S.) - Helfer;Helfer;
11402;Fischwirtschaft (o.S.) - Fachkraft;Fachkraefte;
1141;Berufe in der Fischzucht;;
11412;Fischzucht - Fachkraft;Fachkraefte;
1142;Berufe in der Fischerei;;
11422;Fischerei - Fachkraft;Fachkraefte;
11423;Fischerei - Spezialist;Spezialisten;
11424;Fischerei - Experte;Experten;
1149;Aufsicht und Führung - Fischwirtschaft;;Aufsicht
11493;Aufsicht - Fischwirtschaft;;Aufsicht
11494;Führung - Fischwirtschaft;;Führung
115;Tierpflege;;
1150;Berufe in der Tierpflege (o.S.);;
11501;Tierpflege (o.S.) - Helfer;Helfer;
11502;Tierpflege (o.S.) - Fachkraft;Fachkraefte;
1151;Berufe in der Nutztierpflege;;
11512;Nutztierpflege - Fachkraft;Fachkraefte;
1152;Berufe in der Haus-, Zootierpflege;;
11522;Haus-, Zootierpflege - Fachkraft;Fachkraefte;
1158;Berufe in der Tierpflege (s.s.T.);;
11582;Tierpflege (s.s.T.) - Fachkraft;Fachkraefte;
1159;Aufsicht und Führung - Tierpflege;;Aufsicht
11593;Aufsicht - Tierpflege;;Aufsicht
11594;Führung - Tierpflege;;Führung
116;Weinbau;;
1160;Berufe im Weinbau;;
11602;Weinbau - Fachkraft;Fachkraefte;
11603;Weinbau - Spezialist;Spezialisten;
11604;Weinbau - Experte;Experten;
1169;Aufsicht und Führung - Weinbau;;Aufsicht
11693;Aufsicht - Weinbau;;Aufsicht
11694;Führung - Weinbau;;Führung
117;Forst-,Jagdwirtschaft, Landschaftspflege;;
1171;Berufe in der Forstwirtschaft;;
11711;Forstwirtschaft - Helfer;Helfer;
11712;Forstwirtschaft - Fachkraft;Fachkraefte;
11713;Forstwirtschaft - Spezialist;Spezialisten;
11714;Forstwirtschaft - Experte;Experten;
1172;Berufe in der Natur-, Landschaftspflege;;
11722;Natur-, Landschaftspflege - Fachkraft;Fachkraefte;
11723;Natur-, Landschaftspflege - Spezialist;Spezialisten;
11724;Natur-, Landschaftspflege - Experte;Experten;
1173;Berufe in der Jagdwirtschaft, Wildhege;;
11732;Jagdwirtschaft, Wildhege - Fachkraft;Fachkraefte;
1174;Sammeln von Pflanzen, Naturprodukten;;
11742;Sammeln von Naturprodukten - Fachkraft;Fachkraefte;
1179;Aufsicht,Führung-Forst,Landschaftspflege;;Aufsicht
11793;Aufsicht - Forst,Jagd, Landschaftspflege;;Aufsicht
11794;Führung - Forst,Jagd, Landschaftspflege;;Führung
12;Gartenbauberufe, Floristik;;
121;Gartenbau;;
1210;Berufe im Gartenbau (o.S.);;
12101;Gartenbau (o.S.) - Helfer;Helfer;
12102;Berufe im Gartenbau (o.S.) - Fachkraft;Fachkraefte;
12103;Berufe im Gartenbau (o.S.) - Spezialist;Spezialisten;
12104;Berufe im Gartenbau (o.S.) - Experte;Experten;
1211;Berufe im Obst-, Gemüsebau;;
12112;Berufe im Obst-, Gemüsebau - Fachkraft;Fachkraefte;
12113;Berufe im Obst-, Gemüsebau - Spezialist;Spezialisten;
1212;Berufe BaumschuleStauden,Zierpflanzenbau;;
12122;BaumschuleStauden,Zierpflanzen-Fachkraft;Fachkraefte;
12123;BaumschuleStaudenZierpflanzen-Spezialist;Spezialisten;
1213;Berufe in der Friedhofsgärtnerei;;
12132;Friedhofsgärtnerei - Fachkraft;Fachkraefte;
12133;Friedhofsgärtnerei - Spezialist;Spezialisten;
1214;Berufe Garten-,Landschafts,Sportplatzbau;;
12142;GartenLandschaftsSportplatzb.-Fachkraft;Fachkraefte;
12143;GartenLandschaftsSportplatzb.-Spezialist;Spezialisten;
12144;Garten-Landschafts,Sportplatzbau-Experte;Experten;
1219;Aufsicht und Führung - Gartenbau;;Aufsicht
12193;Aufsicht - Gartenbau;;Aufsicht
12194;Führung - Gartenbau;;Führung
122;Floristik;;
1220;Berufe in der Floristik;;
12202;Floristik - Fachkraft;Fachkraefte;
12203;Floristik - Spezialist;Spezialisten;
1229;Aufsicht und Führung - Floristik;;Aufsicht
12293;Aufsicht - Floristik;;Aufsicht
12294;Führung - Floristik;;Führung
2;Rohstoffgewinnung, Produktion, Fertigung;;
21;Rohstoffgewinn,Glas-,Keramikverarbeitung;;
211;Berg-, Tagebau und Sprengtechnik;;
2111;Berufe im Berg- und Tagebau;;
21111;Berg- und Tagebau - Helfer;Helfer;
21112;Berg- und Tagebau - Fachkraft;Fachkraefte;
21113;Berg- und Tagebau - Spezialist;Spezialisten;
21114;Berg- und Tagebau - Experte;Experten;
2112;Berufe in der Sprengtechnik;;
21122;Sprengtechnik - Fachkraft;Fachkraefte;
21123;Sprengtechnik - Spezialist;Spezialisten;
21124;Sprengtechnik - Experte;Experten;
2119;Aufsicht,Führung-Bergbau,Sprengtechn.;;Aufsicht
21193;Aufsicht -Berg-,Tagebau, Sprengtechnik;;Aufsicht
21194;Führung -Berg-,Tagebau, Sprengtechnik;;Führung
212;Naturstein-,Mineral-,Baustoffherstell.;;
2120;Naturstein,Mineral,Baustoffherstell(o.S);;
21201;Naturstein,Baustoffherstell (o.S)-Helfer;Helfer;
2121;Berufe Naturstein-,Mineralaufbereitung;;
21212;Naturstein-,Mineralaufbereit.-Fachkraft;Fachkraefte;
21213;Naturstein-,Mineralaufbereit.-Spezialist;Spezialisten;
2122;Berufe in der Baustoffherstellung;;
21222;Baustoffherstellung - Fachkraft;Fachkraefte;
21223;Baustoffherstellung - Spezialist;Spezialisten;
2123;Berufe in der Steinmetztechnik;;
21232;Steinmetztechnik - Fachkraft;Fachkraefte;
21233;Steinmetztechnik - Spezialist;Spezialisten;
2129;Aufsicht-Naturstein,Mineral,Baustoffher.;;Aufsicht
21293;Aufsicht-Naturstein,Mineral,Baustoffher.;;Aufsicht
213;Industrielle Glasherstell.,-verarbeitung;;
2131;Berufe in der Glasherstellung;;
21311;Glasherstellung - Helfer;Helfer;
21312;Glasherstellung - Fachkraft;Fachkraefte;
21313;Glasherstellung - Spezialist;Spezialisten;
2132;Berufe im Glasapparatebau;;
21322;Glasapparatebau - Fachkraft;Fachkraefte;
21323;Glasapparatebau - Spezialist;Spezialisten;
2133;Berufe in der industriellen Glasbläserei;;
21332;Industrielle Glasbläserei - Fachkraft;Fachkraefte;
2134;Berufe in der Glasveredelung;;
21342;Glasveredelung - Fachkraft;Fachkraefte;
2135;Berufe in der Glasapparatejustierung;;
21352;Glasapparatejustierung - Fachkraft;Fachkraefte;
2136;Berufe in der Feinoptik;;
21362;Feinoptik - Fachkraft;Fachkraefte;
21363;Feinoptik - Spezialist;Spezialisten;
2139;Aufsicht-Industri.Glasherst.,-verarbeit.;;Aufsicht
21393;Aufsicht-Industri.Glasherst.,-verarbeit.;;Aufsicht
214;Industrielle Keramikherstell.,-verarbeit;;
2141;Industriekeramik (Verfahren,Anlagentech);;
21411;Industriekeramik (Verfahren)-Helfer;Helfer;
21412;Industriekeramik (Verfahren)-Fachkraft;Fachkraefte;
21413;Industriekeramik(Verfahren)-Spezialist;Spezialisten;
2142;Industriekeramik (Modelltechnik);;
21422;Industriekeramik(Modelltechn.)-Fachkraft;Fachkraefte;
21423;Industriekeramik(Modelltechn)-Spezialist;Spezialisten;
2149;Aufsicht-Industrielle Keramikherstellung;;Aufsicht
21493;Aufsicht-Industrielle Keramikherstellung;;Aufsicht
22;Kunststoff- u. Holzherst.,-verarbeitung;;
221;Kunststoff,Kautschukherstell.,verarbeit;;
2210;Kunststoff-,Kautschukherstellung (o.S.);;
22101;Kunststoff-,Kautschukherst. (oS.)-Helfer;Helfer;
22102;Kunststoff-,Kautschukherst(oS)-Fachkraft;Fachkraefte;
22103;Kunststoff-,Kautschukhers(oS)-Spezialist;Spezialisten;
22104;Kunststoff-,Kautschukherst. (oS)-Experte;Experten;
2211;Berufe i.d.Reifen-,Vulkanisationstechnik;;
22112;Reifen-, Vulkanisationstechnik-Fachkraft;Fachkraefte;
2218;Kunststoff,Kautschukherst.,-verarb.(ssT);;
22182;Kunststoff,Kautschukverar(ssT)-Fachkraft;Fachkraefte;
22183;Kunststoff,Kautschukver.(ssT)-Spezialist;Spezialisten;
22184;Kunststoff,Kautschukverarb.(ssT)-Experte;Experten;
2219;Aufsicht-Kunststoff,Kautschukher,verarb.;;Aufsicht
22193;Aufsicht-Kunststoff,Kautschukher,verarb.;;Aufsicht
222;Farb- und Lacktechnik;;
2220;Berufe in der Farb-, Lacktechnik (o.S.);;
22201;Farb-, Lacktechnik (o.S.) - Helfer;Helfer;
22202;Farb-, Lacktechnik (o.S.) - Fachkraft;Fachkraefte;
22203;Farb-, Lacktechnik (o.S.) - Spezialist;Spezialisten;
22204;Farb-, Lacktechnik (o.S.) - Experte;Experten;
2221;Berufe in der Fahrzeuglackierung;;
22212;Fahrzeuglackierung - Fachkraft;Fachkraefte;
2222;Berufe im Lacklaboratorium;;
22222;Lacklaboratorium - Fachkraft;Fachkraefte;
2229;Aufsicht - Farb-, Lacktechnik;;Aufsicht
22293;Aufsicht - Farb-, Lacktechnik;;Aufsicht
223;Holzbe- und -verarbeitung;;
2230;Berufe i.d. Holzbe-,-verarbeitung (o.S.);;
22301;Holzbe-, -verarbeitung (o.S.) - Helfer;Helfer;
22302;Holzbe-,-verarbeitung (o.S.) - Fachkraft;Fachkraefte;
22303;Holzbe-,-verarbeitung(o.S.) - Spezialist;Spezialisten;
22304;Holzbe-, -verarbeitung (o.S.) - Experte;Experten;
2231;Berufe Holztrocknung,-konservierung;;
22312;Holztrocknung,-konservierung - Fachkraft;Fachkraefte;
2232;Produktion v. Holzwerkstoffen,-bauteilen;;
22322;Prod. Holzwerkstoffe,-bauteile-Fachkraft;Fachkraefte;
2233;Produktion v. Fertigprodukten aus Holz;;
22332;Prod. Fertigprodukte aus Holz -Fachkraft;Fachkraefte;
22333;Prod. Fertigprodukte aus Holz-Spezialist;Spezialisten;
2234;Berufe im Holz-, Möbel-, Innenausbau;;
22342;Holz-, Möbel-, Innenausbau - Fachkraft;Fachkraefte;
22343;Holz-, Möbel-, Innenausbau - Spezialist;Spezialisten;
2235;FlechtwerkgestalterBürsten-,Pinselmacher;;
