name;gender
Toni Kroos;male
Mesut Özil;male
Younes Zarou;male
Bastian Schweinsteiger;male
Marc ter Stegen;male
Thomas Müller;male
Manuel Neuer;male
Jerome Boateng;male
Mario Götze;male
Leroy Sané;male
Pamela Reif;female
Lena Mantler;female
Pia Wurtzbach;female
Heidi Klum;female
Bianca Heinicke/Bibi Claßen;female
Dagmar Kazakov (dagibee);female
Stefanie Giesinger;female
Leonie Hanne;female
Caro Daur;female
Anna Maria Damm;female
Kim de l’Horizon;non-binary
Nemo;non-binary
Felix Jaehn;non-binary
Maja T.;non-binary
Sasha Marianna Salzmann;non-binary
Judith Butler;non-binary
Demi Lovato;non-binary
Sam Smith;non-binary
Bambie Thug;non-binary
Blu del Barrio;non-binary
