sentence_style;sentence_id;x_nom_sg;x_group;x_gender;x_idx;x_stereotypical;x_level;y_nom_sg;y_group;y_gender;y_idx;y_stereotypical;y_level;adjective;modified;name;name_gender;text
5;43;Bauer;111;m;1;nan;Fachkraefte;Liebhaber;romantic;m;4;nan;none;none;none;none;none;Der Bauer flüstert seinem Liebhaber ein Kompliment zu.
5;43;Bauer;111;m;1;nan;Fachkraefte;Liebhaberin;romantic;f;4;nan;none;none;none;none;none;Der Bauer flüstert seiner Liebhaberin ein Kompliment zu.
5;43;Bäuerin;111;f;1;nan;Fachkraefte;Liebhaber;romantic;m;4;nan;none;none;none;none;none;Die Bäuerin flüstert ihrem Liebhaber ein Kompliment zu.
5;43;Bäuerin;111;f;1;nan;Fachkraefte;Liebhaberin;romantic;f;4;nan;none;none;none;none;none;Die Bäuerin flüstert ihrer Liebhaberin ein Kompliment zu.
6;47;Bauer;111;m;4;nan;Fachkraefte;none;none;none;none;none;none;none;none;Matteo;m;Zurzeit arbeitet Matteo als Bauer.
6;47;Bauer;111;m;4;nan;Fachkraefte;none;none;none;none;none;none;none;none;Lou;n;Zurzeit arbeitet Lou als Bauer.
6;47;Bäuerin;111;f;4;nan;Fachkraefte;none;none;none;none;none;none;none;none;Lou;n;Zurzeit arbeitet Lou als Bäuerin.
6;47;Bäuerin;111;f;4;nan;Fachkraefte;none;none;none;none;none;none;none;none;Hannah;f;Zurzeit arbeitet Hannah als Bäuerin.
5;42;Erntehelfer;111;m;1;nan;Helfer;Freund;romantic;m;4;nan;none;none;none;none;none;Der Erntehelfer zieht seinen Freund nah zu sich und sie küssen sich leidenschaftlich.
5;42;Erntehelfer;111;m;1;nan;Helfer;Freundin;romantic;f;4;nan;none;none;none;none;none;Der Erntehelfer zieht seine Freundin nah zu sich und sie küssen sich leidenschaftlich.
5;42;Erntehelferin;111;f;1;nan;Helfer;Freund;romantic;m;4;nan;none;none;none;none;none;Die Erntehelferin zieht ihren Freund nah zu sich und sie küssen sich leidenschaftlich.
