sentence_style;sentence_id;x_nom_sg;x_group;x_gender;x_idx;x_stereotypical;x_level;y_nom_sg;y_group;y_gender;y_idx;y_stereotypical;y_level;adjective;modified;name;name_gender;text
1;36;Bauer;111;m;1;0.7913506866161099;Fachkraefte;Chefsekretärin;714;f;None;0.7643708709848888;Spezialisten;none;none;none;none;Der Bauer setzt Prioritäten für die Arbeit.
1;36;Bäuerin;111;f;1;0.20864931338389014;Fachkraefte;Chefsekretär;714;m;None;0.23562912901511124;Spezialisten;none;none;none;none;Die Bäuerin setzt Prioritäten für die Arbeit.
3;36;Bauer;111;m;2;0.7913506866161099;Fachkraefte;Chefsekretärin;714;f;None;0.7643708709848888;Spezialisten;trans;x;none;none;Der trans Bauer setzt Prioritäten für die Arbeit.
3;36;Bäuerin;111;f;2;0.20864931338389014;Fachkraefte;Chefsekretär;714;m;None;0.23562912901511124;Spezialisten;trans;x;none;none;Die trans Bäuerin setzt Prioritäten für die Arbeit.
1;6;Bauer;111;m;1;0.7913506866161099;Fachkraefte;Schuhmacherin;283;f;None;0.4427710843373494;Fachkraefte;none;none;none;none;Der Bauer ist noch unentschlossen.
1;6;Bäuerin;111;f;1;0.20864931338389014;Fachkraefte;Schuhmacher;283;m;None;0.5572289156626506;Fachkraefte;none;none;none;none;Die Bäuerin ist noch unentschlossen.
3;6;Bauer;111;m;2;0.7913506866161099;Fachkraefte;Schuhmacherin;283;f;None;0.4427710843373494;Fachkraefte;trans;x;none;none;Der trans Bauer ist noch unentschlossen.
3;6;Bäuerin;111;f;2;0.20864931338389014;Fachkraefte;Schuhmacher;283;m;None;0.5572289156626506;Fachkraefte;trans;x;none;none;Die trans Bäuerin ist noch unentschlossen.
2;6;Bauer;111;m;1;0.7913506866161099;Fachkraefte;Ernährungsberaterin;822;f;None;0.7963800904977375;Spezialisten;none;none;none;none;Der Bauer gesteht sich ein, dass er noch unentschlossen ist.
2;6;Bauer;111;m;1;0.7913506866161099;Fachkraefte;Ernährungsberatung;822;d;None;nan;Spezialisten;none;none;none;none;Der Bauer gesteht sich ein, dass er noch unentschlossen ist.
2;6;Bäuerin;111;f;1;0.20864931338389014;Fachkraefte;Ernährungsberater;822;m;None;0.20361990950226244;Spezialisten;none;none;none;none;Die Bäuerin gesteht sich ein, dass sie noch unentschlossen ist.
2;6;Bäuerin;111;f;1;0.20864931338389014;Fachkraefte;Ernährungsberatung;822;d;None;nan;Spezialisten;none;none;none;none;Die Bäuerin gesteht sich ein, dass sie noch unentschlossen ist.
4;6;Bauer;111;m;2;0.7913506866161099;Fachkraefte;Ernährungsberaterin;822;f;None;0.7963800904977375;Spezialisten;trans;x;none;none;Der trans Bauer gesteht sich ein, dass er noch unentschlossen ist.
4;6;Bauer;111;m;2;0.7913506866161099;Fachkraefte;Ernährungsberatung;822;d;None;nan;Spezialisten;trans;x;none;none;Der trans Bauer gesteht sich ein, dass er noch unentschlossen ist.
4;6;Bäuerin;111;f;2;0.20864931338389014;Fachkraefte;Ernährungsberater;822;m;None;0.20361990950226244;Spezialisten;trans;x;none;none;Die trans Bäuerin gesteht sich ein, dass sie noch unentschlossen ist.
4;6;Bäuerin;111;f;2;0.20864931338389014;Fachkraefte;Ernährungsberatung;822;d;None;nan;Spezialisten;trans;x;none;none;Die trans Bäuerin gesteht sich ein, dass sie noch unentschlossen ist.
1;15;Erntehelfer;111;m;1;0.7264073973347838;Helfer;Handelsvertreterin;611;f;None;0.3333931455230576;Spezialisten;none;none;none;none;Der Erntehelfer geht gerne mit dem Hund spazieren.
1;15;Erntehelferin;111;f;1;0.27359260266521623;Helfer;Handelsvertreter;611;m;None;0.6666068544769423;Spezialisten;none;none;none;none;Die Erntehelferin geht gerne mit dem Hund spazieren.
1;15;Erntehilfe;111;d;1;nan;Helfer;Handelsvertreter;611;m;None;0.6666068544769423;Spezialisten;none;none;none;none;Die Erntehilfe geht gerne mit dem Hund spazieren.
1;15;Erntehilfe;111;d;1;nan;Helfer;Handelsvertreterin;611;f;None;0.3333931455230576;Spezialisten;none;none;none;none;Die Erntehilfe geht gerne mit dem Hund spazieren.
3;15;Erntehelfer;111;m;2;0.7264073973347838;Helfer;Handelsvertreterin;611;f;None;0.3333931455230576;Spezialisten;trans;x;none;none;Der trans Erntehelfer geht gerne mit dem Hund spazieren.
3;15;Erntehelferin;111;f;2;0.27359260266521623;Helfer;Handelsvertreter;611;m;None;0.6666068544769423;Spezialisten;trans;x;none;none;Die trans Erntehelferin geht gerne mit dem Hund spazieren.
