sentence;hierarchy;x_groups;y_groups
<x_nom> ruft <y_akk> an, weil <x_pron_nom> neue Investitionstipps hat.;x>y;[Banken-/Finanzdienste];[]
<x_nom> spricht mit <y_dat> und erfährt, dass <x_poss_m_nom> Vorschlag, einen neuen Flughafen zu bauen, auf heftigen Widerstand stößt.;none;[Bauwesen];[]?
<x_nom> ignoriert <y_akk> und befiehlt <y_pron_dat>, sich wieder an die Arbeit zu machen.;x>y;[Boss];[]
<x_nom> verspricht <y_dat> eine Gehaltserhöhung, weil <x_pron_nom> mit der Leistung zufrieden ist.;x>y;[Boss];[]
<x_nom> erzählt <y_dat>, dass <x_pron_nom> die Reparatur abgeschlossen hat.;none;[Dienstleisting];[]
<x_nom> bereitete eine Suppe für <y_akk> vor und wartete darauf, dass <y_pron_nom> zahlte.;none;[Dienstleistung(Koch)];[]
<x_nom> entschuldigt sich bei <y_dat>, weil <y_rel_nom> mit <x_poss_dat_m> Art zu kochen nicht zufrieden ist.;x<y;[Dienstleistung(Koch)];[]
<x_nom> ruft <y_akk> an, um <y_pron_dat> mitzuteilen, dass <y_poss_n_nom> Auto am Morgen fertig sein wird.;none;[Dienstleistung(Mechaniker)];[]
<x_nom> nimmt <y_dat> fest, obwohl <x_pron_nom> nicht im Dienst ist.;none;[Dienstleistung(Poizist)];[]
<x_nom> nimmt <y_akk> fest, obwohl <x_pron_nom> nicht gewalttätig ist.;none;[Dienstleistung(Polizist)];[]
<x_nom> putzt den Raum für <y_akk> und hofft, dass <y_pron_nom> Trinkgeld gibt.;x<y;[Dienstleistung];[]
<x_nom> ruft <y_akk> an um zu sagen, dass <x_pron_nom> die Reparatur abgeschlossen hat.;none;[Dienstleistung];[]
<x_nom> sagt <y_dat>, dass <x_pron_nom> den Bürgersteig so schnell wie möglich repariert.;none;[Dienstleistung];[]
<x_nom> sagt <y_dat>, dass <x_pron_nom> empfiehlt, die Pillen zur Mahlzeit einzunehmen.;none;[Ernährung,Medizin];[]
<x_nom> bewirbt sich, um mit <y_dat> zu arbeiten, weil <y_pron_nom> eine Laborhilfe braucht.;none;[Forschung/Chemie];[Forschung/Chemie]
<x_nom> erhält Gewebeproben <y_gen>, die <x_pron_nom> unter <x_poss_n_dat> Mikroskop betrachten kann.;none;[Forschung/Medizin];[]
<x_nom> sagt <y_dat>, dass <x_pron_nom> sich freuen würde, eine Führung durch das Labor zu geben.;none;[Forschung/Wissenschaft];[]
<x_nom> bewirbt sich, um mit <y_dat> zu arbeiten, da <x_pron_nom> mehr Erfahrung im Labor braucht.;none;[Forschung];[Forschung]
<x_nom> ermutigt <y_akk>, drei Mahlzeiten am Tag zu essen, weil das der Rat ist, den <x_pron_nom> allen gibt.;none;[Gesundheitswesen];[]
<x_nom> erklärt <y_dat>, dass das Reduzieren von Zucker ein wirksamer Weg zur Verbesserung <y_poss_f_gen> Ernährung ist.;none;[Gesundheitswesen];[]
<x_nom> sagt <y_dat>, dass <x_pron_nom> das Gemälde auf zehntausend Euro schätzt.;unklar;[Handel(Gutachter)];[]
<x_nom> sagt zu <y_nom>, dass <x_pron_nom> Kreditkarten für Einkäufe unter zehn Euro nicht akzeptiert.;none;[Handel];[]
<x_nom> mag <y_akk> und verkauft <y_pron_dat> Ware mit Rabatt.;none;[Handel];[]
<x_nom> berechnet <y_dat> mehr Geld, will <y_pron_dat> aber nicht mehr Ware geben.;none;[Handel];[]
<x_nom> sagt <y_dat>, dass <y_pron_nom> für das Gemälde zu viel bezahlt hat.;x>y;[Handel];[]
<x_nom> verkauft eine ganze Sammlung von Gemälden an <y_akk>, weil <x_pron_nom> die Galerie aufgeben muss.;none;[Handel];[]
<x_nom> gibt <y_dat> eine Laserschneidervorführung und sagt, dass nur <x_pron_nom> sie bedienen kann.;none;[Handwerk];[]
<x_nom> warnt <y_akk>, dass <x_pron_nom> vielleicht noch einen zusätzlichen Tag braucht, um das Haus fertig zu verkabeln.;none;[Maschinen/Anlagenbau];[]
<x_nom> inspiziert die Leiche <y_gen>, um die Todesursache festzustellen, kann das aber nicht, weil <x_pron_nom> zu inkompetent ist.;none;[Medizin/Forschung];[]
<x_nom> erhält Gewebeproben <y_gen>, um <y_poss_f_akk> Todesursache zu ermitteln.;none;[Medizin/Forschung];[]
<x_nom> spricht mit <y_dat> über einen Patienten, bei dem <x_pron_nom> eine Untersuchung machen muss.;none;[Medizin];[Medizin]
<x_nom> will <y_akk> treffen, weil <y_pron_nom> mehr Erfahrung mit medizinischen Notfällen hat.;none;[Medizin];[Medizin]
<x_nom> untersucht <y_akk>, weil <x_pron_nom> sich Sorgen macht.;none;[Medizin];[]
<x_nom> operiert <y_akk>, weil <y_poss_m_nom> Tumor im Laufe der Zeit gewachsen ist.;x>y;[Medizin];[]
<x_nom> erzählt <y_dat>, dass <x_pron_nom> eine Röntgenaufnahme machen muss.;none;[Medizin];[]
<x_nom> teilt <y_dat> mit, dass <y_poss_f_nom> Katze Diabetes entwickelt hat.;none;[Medizin];[]
<x_nom> führt eine Herz-Druck-Massage bei <y_dat> durch, obwohl <x_pron_nom> weiß, dass es zu spät ist.;none;[Medizin];[]
<x_nom> führt eine Herz-Druck-Massage bei <y_dat> durch, obwohl <y_pron_nom> schon tot ist.;none;[Medizin];[]
<x_nom> operiert <y_akk> besonders sorgfältig, weil <x_poss_f_nom> Zuneigung verspürt.;none;[Medizin];[]
<x_nom> teilt <y_dat> mit, dass <x_pron_nom> die Katze Luna für einen Notfalltermin eintragen kann.;none;[Medizin];[]
<x_nom> inspiziert die Leiche <y_gen>, um eine Todesursache zu klären, kann aber nicht, weil <y_poss_m_nom> Körper zu verstümmelt ist.;none;[Medizin];[]
<x_nom> fordert, dass <y_nom> die Farm verlässt, da <y_pron_nom> hier nicht erwünscht ist.;none/x>y;[Nahrungs-/Genussmittel];[]
<x_nom> liefert <y_dat> einen neuen Anzug und bittet <y_pron_akk>, ihn anzuziehen;none;[Textil/Bekleidung];[]
<x_nom> ist beliebt bei <y_dat>, weil <y_pron_nom> gute Klamotten mag.;none;[Textil];[]
<x_nom> meint, <y_nom> solle einen Fragebogen ausfüllen, damit <x_pron_nom> eine vorläufige Beurteilung vornehmen kann.;none;[Unternehmensberatung,Medzin];[]
<x_nom> trifft sich mit <y_dat>, weil <y_pron_nom> mehr über Bewerbungen wissen will.;x>y;[Unternehmensberatung];[]
<x_nom> ermutigt <y_akk>, an <x_poss_p_dat> Therapiesitzungen teilzunehmen.;x>y;[Unternehmensberatung];[]
<x_nom> will <y_akk> persönlich interviewen, kann aber keinen Kontakt zu <x_pron_dat> herstellen.;none;[Unternehmensberatung];[]
