,0,1,2,3,4,5,6
language,ar,es,fr,he,it,ru,uk
DIVERSE_precision,0,0,0,0,0,0,0
DIVERSE_recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIVERSE_f1_score,0,0,0,0,0,0,0
DIVERSE_support,116,116,116,116,116,116,116
FEMININE_precision,0.9204035874439462,0.9108843537414966,0.9462809917355371,0.7811914574747096,0.8142222222222222,0.683111954459203,0.783068783068783
FEMININE_recall,0.3872641509433962,0.6316037735849057,0.8641509433962264,0.9834905660377359,0.4320754716981132,0.16981132075471697,0.2792452830188679
FEMININE_f1_score,0.5451527224435591,0.7459610027855152,0.9033530571992111,0.8707454583420339,0.5645608628659476,0.2720060445787684,0.41168289290681503
FEMININE_support,2120,2120,2120,2120,2120,2120,2120
MASCULINE_precision,0.6665446559297218,0.72430426716141,0.8928735632183908,0.9579134558387671,0.6323998582063098,0.5334555453712191,0.6185133239831697
MASCULINE_recall,0.8589622641509433,0.9207547169811321,0.9160377358490566,0.7622641509433963,0.8415094339622642,0.8235849056603773,0.8320754716981132
MASCULINE_f1_score,0.7506183017312449,0.8107995846313603,0.9043073341094297,0.84896243761492,0.7221210281319571,0.6475060263304283,0.7095736122284796
MASCULINE_support,2120,2120,2120,2120,2120,2120,2120
UNKNOWN_precision,0.0,0.0,0.0,,0.0,0.0,0.0
UNKNOWN_recall,0.0,0.0,0.0,,0.0,0.0,0.0
UNKNOWN_f1_score,0.0,0.0,0.0,,0.0,0.0,0.0
UNKNOWN_support,0.0,0.0,0.0,,0.0,0.0,0.0
NEUTER_precision,,,,,,0.0,0.0
NEUTER_recall,,,,,,0.0,0.0
NEUTER_f1_score,,,,,,0.0,0.0
NEUTER_support,,,,,,0.0,0.0
