,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,1,1,1,1,1,1,1
DIVERSE_precision,0,0,0,0,0,0,0
DIVERSE_recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIVERSE_f1_score,0,0,0,0,0,0,0
DIVERSE_support,58,58,58,58,58,58,58
FEMININE_precision,0.7777777777777778,0.906187624750499,0.6962616822429907,0.7982456140350878,0.5833333333333334,0.6183574879227053,0.7342857142857143
FEMININE_recall,0.3433962264150943,0.8566037735849057,0.2811320754716981,0.17169811320754716,0.14528301886792452,0.24150943396226415,0.969811320754717
FEMININE_f1_score,0.47643979057591623,0.8806983511154219,0.4005376344086022,0.2826086956521739,0.23262839879154082,0.34735413839891444,0.8357723577235773
FEMININE_support,530,530,530,530,530,530,530
MASCULINE_precision,0.5769230769230769,0.8568840579710145,0.5535714285714286,0.5411203814064363,0.5125944584382871,0.546526867627785,0.9210526315789473
MASCULINE_recall,0.9056603773584906,0.8924528301886793,0.8188679245283019,0.8566037735849057,0.7679245283018868,0.7867924528301887,0.7264150943396226
MASCULINE_f1_score,0.7048458149779736,0.8743068391866914,0.6605783866057839,0.6632578524470416,0.6148036253776435,0.6450116009280742,0.8122362869198312
MASCULINE_support,530,530,530,530,530,530,530
UNKNOWN_precision,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_recall,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_f1_score,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_support,0.0,0.0,0.0,0.0,0.0,0.0,
NEUTER_precision,,,,,0.0,0.0,
NEUTER_recall,,,,,0.0,0.0,
NEUTER_f1_score,,,,,0.0,0.0,
NEUTER_support,,,,,0.0,0.0,
