,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
None,,,,,,,
total,4356,4356,4356,4356,4356,4356,4356
correct,3291,3774,2700,2642,2106,2356,3701
accuracy,0.7555096418732782,0.8663911845730028,0.6198347107438017,0.6065197428833793,0.4834710743801653,0.5408631772268135,0.8496326905417815
true_error_count,874,337,1246,982,1738,1281,655
unknown_count,191,245,410,732,512,719,0
error_m_to_f,98,57,160,57,141,120,504
error_m_to_u,70,121,176,242,219,226,0
error_f_to_m,686,184,995,828,1481,1045,35
error_f_to_u,95,104,209,471,254,469,0
error_d_to_m,57,49,42,83,46,43,36
error_d_to_f,33,47,49,14,26,44,80
error_d_to_u,26,20,25,19,39,24,0
error_m_to_n,0,0,0,0,14,10,0
error_f_to_n,0,0,0,0,25,14,0
