,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,1,1,1,1,1,1,1
total,1118,1118,1118,1118,1118,1118,1118
correct,662,927,583,545,484,545,899
accuracy,0.592128801431127,0.8291592128801432,0.5214669051878354,0.4874776386404293,0.4329159212880143,0.4874776386404293,0.8041144901610018
true_error_count,404,126,415,408,457,435,219
unknown_count,52,65,120,165,177,138,0
error_m_to_f,35,23,43,16,44,56,145
error_m_to_u,15,34,53,60,75,55,0
error_f_to_m,325,54,326,342,364,324,16
error_f_to_u,23,22,55,97,81,73,0
error_d_to_m,27,25,24,43,23,22,17
error_d_to_f,17,24,22,7,11,23,41
error_d_to_u,14,9,12,8,21,10,0
error_m_to_n,0,0,0,0,4,2,0
error_f_to_n,0,0,0,0,8,5,0
