,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
DIVERSE_precision,0,0,0,0,0,0,0
DIVERSE_recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIVERSE_f1_score,0,0,0,0,0,0,0
DIVERSE_support,28,28,28,28,28,28,28
FEMININE_precision,0.5038167938931297,0.8493975903614458,0.5108695652173914,0.4879518072289157,0.5396825396825397,0.5079365079365079,0.6077981651376146
FEMININE_recall,0.2490566037735849,0.5320754716981132,0.17735849056603772,0.30566037735849055,0.12830188679245283,0.12075471698113208,1.0
FEMININE_f1_score,0.33333333333333337,0.654292343387471,0.26330532212885155,0.3758700696055684,0.2073170731707317,0.1951219512195122,0.7560627674750356
FEMININE_support,265,265,265,265,265,265,265
MASCULINE_precision,0.5048231511254019,0.7842323651452282,0.49714285714285716,0.49612403100775193,0.49144254278728605,0.49261083743842365,0.9754098360655737
MASCULINE_recall,0.5924528301886792,0.7132075471698113,0.6566037735849056,0.4830188679245283,0.7584905660377359,0.7547169811320755,0.4490566037735849
MASCULINE_f1_score,0.5451388888888888,0.7470355731225297,0.5658536585365853,0.4894837476099427,0.5964391691394659,0.5961251862891207,0.6149870801033591
MASCULINE_support,265,265,265,265,265,265,265
UNKNOWN_precision,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_recall,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_f1_score,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_support,0.0,0.0,0.0,0.0,0.0,0.0,
NEUTER_precision,,,,,0.0,0.0,
NEUTER_recall,,,,,0.0,0.0,
NEUTER_f1_score,,,,,0.0,0.0,
NEUTER_support,,,,,0.0,0.0,
