,0,1,2,3,4,5,6
language,ar,es,fr,he,it,ru,uk
filterValue,,,,,,,
total,4356,4356,4356,4356,4356,4356,4356
correct,2617,3032,3201,3001,2630,2369,2605
accuracy,0.6007805325987144,0.6960514233241506,0.7348484848484849,0.6889348025711662,0.6037649219467401,0.5438475665748393,0.5980257116620753
true_error_count,962,1081,928,1355,1257,1359,1201
unknown_count,777,243,227,0,469,628,550
error_m_to_f,94,139,192,786,170,160,99
error_m_to_u,248,103,104,0,207,260,233
error_f_to_m,774,847,627,453,996,1068,980
error_f_to_u,507,119,116,0,237,352,295
error_d_to_m,82,51,61,29,43,44,48
error_d_to_f,12,44,48,87,48,52,39
error_d_to_u,22,21,7,0,25,16,22
error_m_to_n,0,0,0,0,0,15,13
error_f_to_n,0,0,0,0,0,16,15
