,0,1,2,3,4,5,6
language,ar,es,fr,he,it,ru,uk
filterValue,2,2,2,2,2,2,2
total,1118,1118,1118,1118,1118,1118,1118
correct,706,832,948,850,721,594,659
accuracy,0.631484794275492,0.7441860465116279,0.8479427549194991,0.7602862254025045,0.644901610017889,0.5313059033989267,0.5894454382826476
true_error_count,189,228,119,268,278,329,302
unknown_count,223,58,51,0,119,195,157
sentence_style,2,2,2,2,2,2,2
error_m_to_f,11,15,25,175,29,32,24
error_m_to_u,47,22,16,0,52,77,64
error_f_to_m,131,165,38,35,205,243,222
error_f_to_u,165,26,33,0,53,111,83
error_d_to_m,40,27,31,16,20,23,24
error_d_to_f,7,21,25,42,24,26,21
error_d_to_u,11,10,2,0,14,7,10
error_m_to_n,0,0,0,0,0,0,3
error_f_to_n,0,0,0,0,0,3,5
