,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
None,,,,,,,
total,4356,4356,4356,4356,4356,4356,4356
correct,3050,3202,2667,2626,2386,2651,3001
accuracy,0.7001836547291093,0.7350780532598714,0.6122589531680441,0.6028466483011937,0.5477502295684114,0.6085858585858586,0.6889348025711662
true_error_count,1105,927,1273,960,1381,1263,1355
unknown_count,201,227,416,770,589,442,0
error_m_to_f,140,194,170,93,159,104,785
error_m_to_u,87,103,186,234,247,200,0
error_f_to_m,864,624,1008,774,1088,1035,454
error_f_to_u,99,117,209,513,330,222,0
error_d_to_m,57,61,47,82,48,49,29
error_d_to_f,44,48,48,11,52,40,87
error_d_to_u,15,7,21,23,12,20,0
error_m_to_n,0,0,0,0,15,14,0
error_f_to_n,0,0,0,0,15,14,0
