,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
None,,,,,,,
total,4356,4356,4356,4356,4356,4356,4356
correct,4036,3906,3647,3090,3003,3495,3714
accuracy,0.9265381083562901,0.8966942148760331,0.8372359963269054,0.709366391184573,0.6893939393939394,0.8023415977961432,0.8526170798898072
true_error_count,176,244,407,420,874,467,642
unknown_count,144,206,302,846,479,394,0
error_m_to_f,54,95,130,28,64,40,514
error_m_to_u,66,107,117,218,130,136,0
error_f_to_m,14,40,172,304,695,310,12
error_f_to_u,70,92,174,600,334,236,0
error_d_to_m,22,43,40,60,51,39,36
error_d_to_f,86,66,65,28,45,47,80
error_d_to_u,8,7,11,28,15,22,0
error_m_to_n,0,0,0,0,8,7,0
error_f_to_n,0,0,0,0,6,16,0
