,0,1,2,3,4,5,6
language,ar,es,fr,he,it,ru,uk
filterValue,,,,,,,
total,4356,4356,4356,4356,4356,4356,4356
correct,2490,3072,2971,2931,2706,2203,2262
accuracy,0.571625344352617,0.7052341597796143,0.6820477502295684,0.6728650137741047,0.6212121212121212,0.5057392102846648,0.5192837465564738
true_error_count,1091,1060,1127,1425,1258,1743,1424
unknown_count,775,224,258,0,392,410,670
error_m_to_f,113,211,191,673,207,124,105
error_m_to_u,292,100,125,0,160,186,240
error_f_to_m,879,754,837,636,948,1520,1202
error_f_to_u,466,103,116,0,219,195,407
error_d_to_m,88,57,65,35,60,57,56
error_d_to_f,11,38,34,81,43,22,27
error_d_to_u,17,21,17,0,13,29,23
error_m_to_n,0,0,0,0,0,7,13
error_f_to_n,0,0,0,0,0,5,11
