,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
None,,,,,,,
total,4356,4356,4356,4356,4356,4356,4356
correct,3072,2971,2706,2490,2203,2262,2931
accuracy,0.7052341597796143,0.6820477502295684,0.6212121212121212,0.571625344352617,0.5057392102846648,0.5192837465564738,0.6728650137741047
true_error_count,1060,1127,1258,1091,1743,1424,1425
unknown_count,224,258,392,775,410,670,0
error_m_to_f,211,191,207,113,124,105,673
error_m_to_u,100,125,160,292,186,240,0
error_f_to_m,754,837,948,879,1520,1202,636
error_f_to_u,103,116,219,466,195,407,0
error_d_to_m,57,65,60,88,57,56,35
error_d_to_f,38,34,43,11,22,27,81
error_d_to_u,21,17,13,17,29,23,0
error_m_to_n,0,0,0,0,7,13,0
error_f_to_n,0,0,0,0,5,11,0
