,0,1,2,3,4,5,6
language,ar,es,fr,he,it,ru,uk
filterValue,1,1,1,1,1,1,1
total,1118,1118,1118,1118,1118,1118,1118
correct,524,612,616,608,567,505,524
accuracy,0.46869409660107336,0.5474060822898033,0.5509838998211091,0.5438282647584973,0.5071556350626119,0.4516994633273703,0.46869409660107336
true_error_count,418,436,439,510,434,459,448
unknown_count,176,70,63,0,117,154,146
sentence_style,1,1,1,1,1,1,1
error_m_to_f,11,40,43,195,52,37,29
error_m_to_u,73,30,31,0,54,65,70
error_f_to_m,357,347,346,257,331,376,365
error_f_to_u,95,31,24,0,56,74,65
error_d_to_m,44,30,32,17,29,29,31
error_d_to_f,6,19,18,41,22,10,10
error_d_to_u,8,9,8,0,7,15,11
error_m_to_n,0,0,0,0,0,2,3
error_f_to_n,0,0,0,0,0,1,4
