,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender
total,530,530,530,530,530,530,530
correct,440,415,354,319,297,356,432
accuracy,0.8301886792452831,0.7830188679245284,0.6679245283018868,0.6018867924528302,0.560377358490566,0.6716981132075471,0.8150943396226416
true_error_count,74,91,123,107,165,117,98
unknown_count,16,24,53,104,68,57,0
pairing,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender
error_m_to_f,15,21,23,9,17,17,66
error_m_to_u,7,10,23,33,27,31,0
error_f_to_m,59,70,100,98,147,99,32
error_f_to_u,9,14,30,71,41,26,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,0,0,0
error_f_to_n,0,0,0,0,1,1,0
