,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,,,,,,,
total,558,558,558,558,558,558,558
correct,206,205,222,196,228,232,272
accuracy,0.36917562724014336,0.3673835125448029,0.3978494623655914,0.35125448028673834,0.40860215053763443,0.4157706093189964,0.4874551971326165
true_error_count,211,214,222,208,242,251,286
unknown_count,141,139,114,154,88,75,0
error_m_to_f,83,100,61,71,20,50,187
error_m_to_u,69,66,53,73,42,33,0
error_f_to_m,105,93,140,115,193,172,71
error_f_to_u,67,66,54,75,38,35,0
error_d_to_m,9,5,10,14,15,13,9
error_d_to_f,14,16,11,8,5,8,19
error_d_to_u,5,7,7,6,8,7,0
error_m_to_n,0,0,0,0,4,4,0
error_f_to_n,0,0,0,0,5,4,0
