model,language,accuracy_baseline,accuracy_pronoun,diff_pp
google,es,0.5491949910554562,0.7522361359570662,20.304114490160995
google,fr,0.5769230769230769,0.8479427549194991,27.101967799642225
google,it,0.5107334525939177,0.6538461538461539,14.311270125223619
google,ar,0.49821109123434704,0.631484794275492,13.327370304114494
google,ru,0.4588550983899821,0.5339892665474061,7.513416815742397
google,uk,0.47942754919499103,0.5974955277280859,11.806797853309487
google,he,0.5715563506261181,0.7602862254025045,18.872987477638638
google_llm,es,0.5483005366726297,0.7531305903398927,20.483005366726303
google_llm,fr,0.5778175313059034,0.8470483005366727,26.923076923076927
google_llm,it,0.5098389982110912,0.6538461538461539,14.40071556350626
google_llm,ar,0.4991055456171735,0.6332737030411449,13.416815742397143
google_llm,ru,0.4588550983899821,0.5339892665474061,7.513416815742397
google_llm,uk,0.47942754919499103,0.6010733452593918,12.164579606440078
google_llm,he,0.5706618962432916,0.7602862254025045,18.96243291592129
deepl,es,0.5974955277280859,0.8765652951699463,27.90697674418604
deepl,fr,0.8291592128801432,0.8559928443649374,2.683363148479423
deepl,it,0.5295169946332737,0.6833631484794276,15.384615384615385
deepl,ar,0.49105545617173524,0.6225402504472272,13.148479427549193
deepl,ru,0.4338103756708408,0.4847942754919499,5.098389982110913
deepl,uk,0.49016100178890876,0.629695885509839,13.953488372093027
deepl,he,0.8041144901610018,0.8282647584973166,2.415026833631484
microsoft,es,0.5500894454382826,0.7835420393559929,23.345259391771023
microsoft,fr,0.5509838998211091,0.7334525939177102,18.246869409660114
microsoft,it,0.518783542039356,0.6654740608228981,14.66905187835421
microsoft,ar,0.47227191413237923,0.5652951699463328,9.302325581395355
microsoft,ru,0.45348837209302323,0.4883720930232558,3.4883720930232567
microsoft,uk,0.47227191413237923,0.5697674418604651,9.74955277280859
microsoft,he,0.5438282647584973,0.7316636851520573,18.783542039355993
systran,es,0.8586762075134168,0.8872987477638641,2.8622540250447304
systran,fr,0.8443649373881932,0.8613595706618963,1.6994633273703097
systran,it,0.7209302325581395,0.7423971377459749,2.146690518783545
systran,ar,0.4597495527728086,0.5581395348837209,9.838998211091232
systran,ru,0.44364937388193204,0.4776386404293381,3.3989266547406083
systran,uk,0.4516994633273703,0.4856887298747764,3.3989266547406083
systran,he,0.5223613595706619,0.5894454382826476,6.708407871198574
gpt-4o,es,0.9033989266547406,0.9132379248658319,0.9838998211091243
gpt-4o,fr,0.8846153846153846,0.8864042933810375,0.17889087656529634
gpt-4o,it,0.8255813953488372,0.8381037567084079,1.2522361359570633
gpt-4o,ar,0.6323792486583184,0.6198568872987478,-1.2522361359570633
gpt-4o,ru,0.5948121645796064,0.5983899821109123,0.3577817531305927
gpt-4o,uk,0.7289803220035778,0.7361359570661896,0.7155635062611854
gpt-4o,he,0.8148479427549195,0.8372093023255814,2.2361359570661987
