model,language,accuracy_baseline_pronoun,accuracy_trans_pronoun,diff_pp
google,es,0.7522361359570662,0.8886792452830189,13.644310932595271
google,fr,0.8479427549194991,0.9056603773584906,5.771762243899148
google,it,0.6538461538461539,0.7320754716981132,7.82293178519593
google,ar,0.631484794275492,0.7424528301886792,11.096803591318727
google,ru,0.5339892665474061,0.6707547169811321,13.6765450433726
google,uk,0.5974955277280859,0.7943396226415095,19.684409491342358
google,he,0.7602862254025045,0.819811320754717,5.952509535221251
google_llm,es,0.7531305903398927,0.8886792452830189,13.554865494312619
google_llm,fr,0.8470483005366727,0.9066037735849056,5.955547304823295
google_llm,it,0.6538461538461539,0.7320754716981132,7.82293178519593
google_llm,ar,0.6332737030411449,0.7443396226415094,11.10659196003645
google_llm,ru,0.5339892665474061,0.6698113207547169,13.582205420731086
google_llm,uk,0.6010733452593918,0.7933962264150943,19.23228811557025
google_llm,he,0.7602862254025045,0.8216981132075472,6.14118878050427
deepl,es,0.8765652951699463,0.939622641509434,6.305734633948767
deepl,fr,0.8559928443649374,0.9047169811320754,4.872413676713805
deepl,it,0.6833631484794276,0.7367924528301887,5.342930435076109
deepl,ar,0.6225402504472272,0.7650943396226415,14.255408917541434
deepl,ru,0.4847942754919499,0.5264150943396226,4.162081884767272
deepl,uk,0.629695885509839,0.6056603773584905,-2.4035508151348473
deepl,he,0.8282647584973166,0.8952830188679245,6.701826037060787
microsoft,es,0.7835420393559929,0.910377358490566,12.683531913457314
microsoft,fr,0.7334525939177102,0.8613207547169811,12.786816079927089
microsoft,it,0.6654740608228981,0.779245283018868,11.377122219596991
microsoft,ar,0.5652951699463328,0.7405660377358491,17.527086778951627
microsoft,ru,0.4883720930232558,0.5801886792452831,9.181658622202725
microsoft,uk,0.5697674418604651,0.589622641509434,1.9855199648968869
microsoft,he,0.7316636851520573,0.8301886792452831,9.85249940932258
systran,es,0.8872987477638641,0.9462264150943396,5.89276673304755
systran,fr,0.8613595706618963,0.9075471698113208,4.61875991494245
systran,it,0.7423971377459749,0.779245283018868,3.684814527289304
systran,ar,0.5581395348837209,0.6150943396226415,5.695480473892056
systran,ru,0.4776386404293381,0.530188679245283,5.255003881594488
systran,uk,0.4856887298747764,0.480188679245283,-0.550005062949338
systran,he,0.5894454382826476,0.710377358490566,12.093192020791843
gpt-4o,es,0.9132379248658319,0.9622641509433962,4.9026226077564345
gpt-4o,fr,0.8864042933810375,0.9141509433962264,2.7746650015188834
gpt-4o,it,0.8381037567084079,0.8471698113207548,0.9066054612346885
gpt-4o,ar,0.6198568872987478,0.8066037735849056,18.674688628615787
gpt-4o,ru,0.5983899821109123,0.8056603773584906,20.727039524757828
gpt-4o,uk,0.7361359570661896,0.870754716981132,13.461875991494242
gpt-4o,he,0.8372093023255814,0.8886792452830189,5.146994295743745
