,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender
total,530,530,530,530,530,530,530
correct,505,480,426,272,271,260,358
accuracy,0.9528301886792453,0.9056603773584906,0.8037735849056604,0.5132075471698113,0.5113207547169811,0.49056603773584906,0.6754716981132075
true_error_count,9,23,47,152,201,206,172
unknown_count,16,27,57,106,58,64,0
pairing,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender
error_m_to_f,5,9,16,10,19,22,83
error_m_to_u,9,14,23,44,22,29,0
error_f_to_m,4,14,31,142,181,180,89
error_f_to_u,7,13,34,62,36,35,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,0,3,0
error_f_to_n,0,0,0,0,1,1,0
