,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
DIVERSE_precision,0.0,0.0,0.0,0.0,1.0,1.0,0.0
DIVERSE_recall,0.0,0.0,0.0,0.0,0.03571428571428571,0.07142857142857142,0.0
DIVERSE_f1_score,0.0,0.0,0.0,0.0,0.0689655172413793,0.13333333333333333,0.0
DIVERSE_support,28,28,28,28,28,28,28
FEMININE_precision,0.8730964467005076,0.7891891891891892,0.8263473053892215,0.5,0.5098039215686274,0.509090909090909,0.4898989898989899
FEMININE_recall,0.6490566037735849,0.5509433962264151,0.5207547169811321,0.2528301886792453,0.09811320754716982,0.10566037735849057,0.7320754716981132
FEMININE_f1_score,0.7445887445887446,0.648888888888889,0.638888888888889,0.33583959899749377,0.16455696202531647,0.17500000000000002,0.5869894099848714
FEMININE_support,265,265,265,265,265,265,265
MASCULINE_precision,0.811965811965812,0.7,0.7689243027888446,0.4982698961937716,0.48792270531400966,0.4976303317535545,0.5061728395061729
MASCULINE_recall,0.7169811320754716,0.660377358490566,0.7283018867924528,0.5433962264150943,0.7622641509433963,0.7924528301886793,0.30943396226415093
MASCULINE_f1_score,0.7615230460921844,0.6796116504854369,0.748062015503876,0.51985559566787,0.5949926362297496,0.611353711790393,0.38407494145199067
MASCULINE_support,265,265,265,265,265,265,265
UNKNOWN_precision,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_recall,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_f1_score,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_support,0.0,0.0,0.0,0.0,0.0,0.0,
NEUTER_precision,,,,,0.0,0.0,
NEUTER_recall,,,,,0.0,0.0,
NEUTER_f1_score,,,,,0.0,0.0,
NEUTER_support,,,,,0.0,0.0,
