,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,,,,,,,
total,558,558,558,558,558,558,558
correct,362,321,331,211,229,240,276
accuracy,0.6487455197132617,0.5752688172043011,0.5931899641577061,0.3781362007168459,0.4103942652329749,0.43010752688172044,0.4946236559139785
true_error_count,69,114,87,212,246,250,282
unknown_count,127,123,140,135,83,68,0
error_m_to_f,18,26,19,62,20,21,183
error_m_to_u,57,64,53,59,38,29,0
error_f_to_m,28,62,52,131,200,200,71
error_f_to_u,65,57,75,67,35,31,0
error_d_to_m,16,13,6,14,12,12,9
error_d_to_f,7,13,10,5,5,6,19
error_d_to_u,5,2,12,9,10,8,0
error_m_to_n,0,0,0,0,5,5,0
error_f_to_n,0,0,0,0,4,6,0
