,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
None,,,,,,,
total,4356,4356,4356,4356,4356,4356,4356
correct,3913,3815,3218,2304,2112,2012,2598
accuracy,0.8983011937557392,0.8758034894398531,0.738751147842057,0.5289256198347108,0.48484848484848486,0.46189164370982555,0.5964187327823691
true_error_count,260,326,639,1242,1875,1842,1758
unknown_count,183,215,499,810,369,502,0
error_m_to_f,50,70,165,96,125,126,639
error_m_to_u,85,111,185,297,165,216,0
error_f_to_m,107,150,381,1056,1610,1583,1003
error_f_to_u,85,94,291,487,178,262,0
error_d_to_m,33,48,41,79,57,41,52
error_d_to_f,70,58,52,11,27,46,64
error_d_to_u,13,10,23,26,26,24,0
error_m_to_n,0,0,0,0,23,20,0
error_f_to_n,0,0,0,0,27,21,0
