,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,2,2,2,2,2,2,2
total,1118,1118,1118,1118,1118,1118,1118
correct,982,963,824,619,533,533,659
accuracy,0.8783542039355993,0.8613595706618963,0.7370304114490162,0.5536672629695886,0.47674418604651164,0.47674418604651164,0.5894454382826476
true_error_count,84,107,159,258,468,470,459
unknown_count,52,48,135,241,117,115,0
error_m_to_f,11,25,23,12,39,47,164
error_m_to_u,21,26,57,81,49,47,0
error_f_to_m,23,30,90,201,370,364,237
error_f_to_u,23,16,66,147,56,56,0
error_d_to_m,17,24,20,39,31,19,23
error_d_to_f,33,28,26,6,13,26,35
error_d_to_u,8,6,12,13,12,12,0
error_m_to_n,0,0,0,0,5,7,0
error_f_to_n,0,0,0,0,8,6,0
