sentence_style;sentence_id;x_nom_sg;x_group;x_gender;x_idx;x_stereotypical;x_level;y_nom_sg;y_group;y_gender;y_idx;y_stereotypical;y_level;adjective;modified;name;name_gender;text;es;fr;it;ar;ru;uk;he;alignment_es;alignment_fr;alignment_it;alignment_ar;alignment_ru;alignment_uk;alignment_he;x_phrase_indices;x_phrase_es;x_phrase_fr;x_phrase_it;x_phrase_ar;x_phrase_ru;x_phrase_uk;x_phrase_he;x_gender_es;x_votes_es;x_gender_fr;x_votes_fr;x_gender_it;x_votes_it;x_gender_ar;x_votes_ar;x_gender_ru;x_votes_ru;x_gender_uk;x_votes_uk;x_gender_he;x_votes_he
5;43;Bauer;111;MASCULINE;1;;Fachkraefte;Liebhaber;romantic;MASCULINE;4;;none;none;none;none;none;Der Bauer flüstert seinem Liebhaber ein Kompliment zu.;El granjero susurra un cumplido a su amante.;Le paysan chuchote un compliment à son amant.;Il contadino sussurra un complimento alla sua amante.;يهمس المزارع مجاملة لحبيبته.;Фермер шепчет комплимент своей возлюбленной.;Фермер шепоче комплімент своїй коханій.;האיכר לוחש מחמאה לאהובו.;0-0 1-1 2-2 3-6 4-7 5-3 6-4 7-7;0-0 1-1 2-2 3-6 4-7 5-3 6-4 7-5 7-7;0-0 1-1 2-2 3-5 3-6 4-7 5-3 6-4 7-7;0-1 2-0 3-3 4-1 4-3 5-2 6-2 7-3;0-0 1-0 2-1 3-3 4-4 5-2 6-2 7-4;0-0 1-0 2-1 3-3 4-4 6-2 7-4;0-0 1-0 2-1 3-3 4-3 6-2 7-3;[0, 1];El granjero;Le paysan;Il contadino;المزارع;Фермер;Фермер;האיכר;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
5;43;Bauer;111;MASCULINE;1;;Fachkraefte;Liebhaberin;romantic;FEMININE;4;;none;none;none;none;none;Der Bauer flüstert seiner Liebhaberin ein Kompliment zu.;El granjero susurra un cumplido a su amante.;Le paysan chuchote un compliment à son amante.;Il contadino sussurra un complimento alla sua amante.;يهمس المزارع مجاملة لحبيبته.;Фермер шепчет комплимент своей возлюбленной.;Фермер шепоче комплімент своїй коханій.;האיכר לוחש מחמאה לאהובתו.;0-0 1-1 2-2 3-6 4-7 5-3 6-4 7-7;0-0 1-1 2-2 3-6 4-7 5-3 6-4 7-5 7-7;0-0 1-1 2-2 3-5 3-6 4-1 4-7 5-3 6-4 7-7;0-1 1-1 2-0 4-1 4-3 5-2 6-2 7-3;0-0 1-0 2-1 3-3 4-4 5-2 6-2 7-4;0-0 1-0 2-1 3-3 4-4 6-2 7-4;0-0 1-0 2-1 3-3 4-3 5-2 6-2 7-3;[0, 1];El granjero;Le paysan;Il contadino;المزارع;Фермер;Фермер;האיכר;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
5;43;Bäuerin;111;FEMININE;1;;Fachkraefte;Liebhaber;romantic;MASCULINE;4;;none;none;none;none;none;Die Bäuerin flüstert ihrem Liebhaber ein Kompliment zu.;La mujer del granjero susurra un cumplido a su amante.;La paysanne chuchote un compliment à son amant.;La moglie del contadino sussurra un complimento al suo amante.;تهمس زوجة المزارع مجاملة لعشيقها.;Жена фермера шепчет комплимент своему любовнику.;Дружина фермера шепоче комплімент своєму коханому.;האישה החקלאית לוחשת מחמאה למאהבה.;0-0 1-1 1-3 2-4 3-8 4-2 4-9 5-5 6-6 7-9;0-0 1-1 2-2 3-6 4-7 5-3 6-4 7-5 7-7;0-0 1-1 1-3 2-4 3-7 3-8 4-3 4-9 5-5 6-6 7-9;0-0 1-1 2-0 3-4 4-2 6-3 7-4;0-0 1-1 2-2 3-4 4-5 6-3 7-5;0-0 1-1 2-2 3-4 4-5 6-3 7-5;0-0 1-0 1-1 2-2 4-4 5-4 6-3 7-4;[0, 1];La mujer granjero;La paysanne;La moglie contadino;تهمس زوجة;Жена фермера;Дружина фермера;האישה החקלאית;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];UNKNOWN;['UNKNOWN'];UNKNOWN;['UNKNOWN'];UNKNOWN;['UNKNOWN'];FEMININE;['FEMININE']
5;43;Bäuerin;111;FEMININE;1;;Fachkraefte;Liebhaberin;romantic;FEMININE;4;;none;none;none;none;none;Die Bäuerin flüstert ihrer Liebhaberin ein Kompliment zu.;La mujer del granjero susurra un cumplido a su amante.;La paysanne chuchote un compliment à son amante.;La moglie del contadino sussurra un complimento al suo amante.;تهمس زوجة المزارع مجاملة لعشيقها.;Жена фермера шепчет комплимент своему любовнику.;Дружина фермера шепоче комплімент своєму коханому.;האישה החקלאית לוחשת מחמאה לאהובתה.;0-0 1-1 1-3 2-4 3-8 4-9 5-5 6-6 7-9;0-0 1-1 2-2 3-6 4-7 5-3 6-4 7-5 7-7;0-0 1-1 1-3 2-4 3-8 4-9 5-5 6-6 7-9;0-0 1-1 2-0 2-3 3-4 4-2 4-4 6-2 7-4;0-0 1-1 2-2 3-4 4-1 4-5 5-3 6-3 7-5;0-0 1-1 2-2 3-4 4-5 6-3 7-5;0-0 1-0 1-1 2-2 3-4 4-4 5-3 6-3 7-4;[0, 1];La mujer granjero;La paysanne;La moglie contadino;تهمس زوجة;Жена фермера;Дружина фермера;האישה החקלאית;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];UNKNOWN;['UNKNOWN'];UNKNOWN;['UNKNOWN'];UNKNOWN;['UNKNOWN'];FEMININE;['FEMININE']
6;44;Bauer;111;MASCULINE;2;;Fachkraefte;none;none;none;none;none;none;none;none;Leon;MASCULINE;Leon ist Bauer.;León es agricultor.;Leon est agriculteur.;Leon è un agricoltore.;ليون مزارع.;Леон - фермер.;Леон - фермер.;ליאון הוא חקלאי.;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-3;0-0 1-1 2-1;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-2;[1, 2];es agricultor.;est agriculteur.;è agricoltore.;مزارع.;- фермер.;- фермер.;הוא חקלאי.;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
6;44;Bauer;111;MASCULINE;2;;Fachkraefte;none;none;none;none;none;none;none;none;Bente;n;Bente ist Bauer.;Bente es agricultor.;Bente est agriculteur.;Bente è un agricoltore.;بينتي مزارع.;Бенте - фермер.;Бенте - фермер.;בנטה הוא חקלאי.;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-3;0-0 1-1 2-1;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-2;[1, 2];es agricultor.;est agriculteur.;è agricoltore.;مزارع.;- фермер.;- фермер.;הוא חקלאי.;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
6;44;Bäuerin;111;FEMININE;2;;Fachkraefte;none;none;none;none;none;none;none;none;Bente;n;Bente ist Bäuerin.;Bente es agricultor.;Bente est agricultrice.;Bente è un agricoltore.;بينتي مزارع.;Бенте - фермер.;Бенте - фермер.;בנטה היא איכרה.;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 1-2 2-3;0-0 2-1;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-2;[1, 2];es agricultor.;est agricultrice.;è un agricoltore.;مزارع.;- фермер.;- фермер.;היא איכרה.;MASCULINE;['MASCULINE'];FEMININE;['FEMININE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];FEMININE;['FEMININE']
6;44;Bäuerin;111;FEMININE;2;;Fachkraefte;none;none;none;none;none;none;none;none;Sophia;FEMININE;Sophia ist Bäuerin.;Sophia es agricultora.;Sophia est agricultrice.;Sophia è una contadina.;صوفيا مزارعة.;София - фермер.;Софія - фермер.;סופיה היא חקלאית.;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 1-2 2-3;0-1 1-0 2-0 2-1;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-2;[1, 2];es agricultora.;est agricultrice.;è una contadina.;صوفيا مزارعة.;- фермер.;- фермер.;היא חקלאית.;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];UNKNOWN;['UNKNOWN'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];FEMININE;['FEMININE']
5;39;Erntehelfer;111;MASCULINE;1;;Helfer;Liebhaber;romantic;MASCULINE;4;;none;none;none;none;none;Der Erntehelfer liebt seinen Liebhaber.;El cosechador ama a su amante.;Le moissonneur aime son amant.;Il mietitore ama la sua amante.;الحاصد يحب عشيقته.;Комбайнер любит свою возлюбленную.;Комбайнер любить свою кохану.;העוזר בקציר אוהב את אהובו.;0-0 1-1 2-2 3-4 4-5;0-0 1-1 2-2 3-3 4-4;0-0 1-1 2-2 3-4 4-3 4-5;0-0 1-0 2-1 3-2 4-2;0-0 1-0 2-1 3-2 4-3;0-0 1-0 2-1 3-2 4-3;0-0 1-0 1-1 2-2 3-3 4-4;[0, 1];El cosechador;Le moissonneur;Il mietitore;الحاصد;Комбайнер;Комбайнер;העוזר בקציר;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
5;39;Erntehelfer;111;MASCULINE;1;;Helfer;Liebhaberin;romantic;FEMININE;4;;none;none;none;none;none;Der Erntehelfer liebt seine Liebhaberin.;El trabajador de la cosecha ama a su amante.;Le moissonneur aime son amante.;Il lavoratore del raccolto ama il suo amante.;عامل الحصاد يحب عشيقته.;Рабочий, собирающий урожай, любит свою возлюбленную.;Робітник на жнивах любить свою кохану.;העובד הזר אוהב את המאהבת שלו.;0-0 1-1 1-4 2-5 3-7 4-6 4-8;0-0 1-1 2-2 3-3 4-4;0-0 1-1 1-3 2-4 3-6 4-1 4-3 4-5 4-7;0-0 1-1 2-2 3-3 4-3;0-0 1-0 1-2 2-3 3-4 4-5;0-0 1-0 1-2 2-3 3-4 4-5;0-0 1-0 1-1 2-2 3-3 3-5 4-2 4-4 4-5;[0, 1];El trabajador cosecha;Le moissonneur;Il lavoratore raccolto;عامل الحصاد;Рабочий, урожай,;Робітник жнивах;העובד הזר;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
5;39;Erntehelferin;111;FEMININE;1;;Helfer;Liebhaber;romantic;MASCULINE;4;;none;none;none;none;none;Die Erntehelferin liebt ihren Liebhaber.;La segadora ama a su amante.;La moissonneuse est amoureuse de son amant.;La lavoratrice del raccolto ama il suo amante.;عاملة الحصاد تحب حبيبها.;Работница, собирающая урожай, любит своего возлюбленного.;Працівниця збирання врожаю кохає свого коханого.;העובדת הזרה אוהבת את המאהב שלה.;0-0 1-1 2-2 3-4 4-5;0-0 1-1 2-2 2-3 3-5 4-6;0-0 1-1 1-3 2-4 3-6 4-3 4-5 4-7;0-0 1-0 1-1 2-2 4-3;0-0 1-0 2-3 3-4 4-5;0-0 1-0 1-1 2-3 3-4 4-5;0-0 1-0 2-2 3-3 4-2 4-4 4-5;[0, 1];La segadora;La moissonneuse;La lavoratrice raccolto;عاملة الحصاد;Работница,;Працівниця збирання;העובדת;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];UNKNOWN;['UNKNOWN'];FEMININE;['FEMININE'];UNKNOWN;['UNKNOWN'];FEMININE;['FEMININE']
5;39;Erntehelferin;111;FEMININE;1;;Helfer;Liebhaberin;romantic;FEMININE;4;;none;none;none;none;none;Die Erntehelferin liebt ihre Liebhaberin.;La cosechadora ama a su amante.;La moissonneuse aime son amant.;La mietitrice ama il suo amante.;الحاصدة تحب حبيبها.;Жатва любит своего любовника.;Комбайнерка кохає свого коханого.;העובדת הזרה אוהבת את המאהבת שלה.;0-0 1-1 2-2 3-4 4-3 4-5;0-0 1-1 2-2 3-3 4-4;0-0 1-1 2-2 3-4 4-5;0-0 1-0 2-1 4-2;0-0 1-0 2-1 3-2 4-3;0-0 1-0 2-1 3-2 4-3;0-0 1-0 2-2 3-5 4-4 4-5;[0, 1];La cosechadora;La moissonneuse;La mietitrice;الحاصدة;Жатва;Комбайнерка;העובדת;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];NEUTER;['NEUTER'];FEMININE;['FEMININE'];FEMININE;['FEMININE']
