sentence_style;sentence_id;x_nom_sg;x_group;x_gender;x_idx;x_stereotypical;x_level;y_nom_sg;y_group;y_gender;y_idx;y_stereotypical;y_level;adjective;modified;name;name_gender;text;es;fr;it;ar;ru;uk;he;alignment_es;alignment_fr;alignment_it;alignment_ar;alignment_ru;alignment_uk;alignment_he;x_phrase_indices;x_phrase_es;x_phrase_fr;x_phrase_it;x_phrase_ar;x_phrase_ru;x_phrase_uk;x_phrase_he;x_gender_es;x_votes_es;x_gender_fr;x_votes_fr;x_gender_it;x_votes_it;x_gender_ar;x_votes_ar;x_gender_ru;x_votes_ru;x_gender_uk;x_votes_uk;x_gender_he;x_votes_he
5;43;Bauer;111;MASCULINE;1;;Fachkraefte;Liebhaber;romantic;MASCULINE;4;;none;none;none;none;none;Der Bauer flüstert seinem Liebhaber ein Kompliment zu.;El granjero le susurra un cumplido a su amante.;Le fermier murmure un compliment à sa bien-aimée.;Il contadino sussurra un complimento alla sua amante.;يهمس المزارع بكلمة إطراء لحبيبته.;Фермер шепчет комплимент своей возлюбленной.;Фермер шепоче комплімент своїй коханій.;החקלאי לוחש מחמאה לאהובתו.;0-0 1-1 2-3 3-7 4-8 5-4 6-5 7-8;0-0 1-1 2-2 3-6 4-7 5-3 6-4 7-5 7-7;0-0 1-1 2-2 3-5 3-6 4-7 5-3 6-4 7-7;0-1 1-1 2-0 4-1 5-2 6-3 7-4;0-0 1-0 2-1 3-3 4-4 5-2 6-2 7-4;0-0 1-0 2-1 3-3 4-4 6-2 7-4;0-0 1-0 2-1 3-3 4-0 4-3 5-2 6-2 7-3;[0, 1];El granjero;Le fermier;Il contadino;المزارع;Фермер;Фермер;החקלאי;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
5;43;Bauer;111;MASCULINE;1;;Fachkraefte;Liebhaberin;romantic;FEMININE;4;;none;none;none;none;none;Der Bauer flüstert seiner Liebhaberin ein Kompliment zu.;El granjero le susurra un cumplido a su amante.;Le fermier murmure un compliment à sa bien-aimée.;Il contadino sussurra un complimento alla sua amante.;يهمس المزارع بكلمة إطراء لحبيبته.;Фермер шепчет комплимент своей возлюбленной.;Фермер шепоче комплімент своїй коханій.;החקלאי לוחש מחמאה לאהובתו.;0-0 1-1 2-3 3-7 4-8 5-4 6-5 7-8;0-0 1-1 2-2 3-6 4-7 5-3 6-4 7-5 7-7;0-0 1-1 2-2 3-5 3-6 4-1 4-7 5-3 6-4 7-7;0-1 1-1 2-0 4-1 4-4 5-2 6-3 7-4;0-0 1-0 2-1 3-3 4-4 5-2 6-2 7-4;0-0 1-0 2-1 3-3 4-4 6-2 7-4;0-0 1-0 2-1 3-3 4-0 4-3 5-2 6-2 7-3;[0, 1];El granjero;Le fermier;Il contadino;المزارع;Фермер;Фермер;החקלאי;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
5;43;Bäuerin;111;FEMININE;1;;Fachkraefte;Liebhaber;romantic;MASCULINE;4;;none;none;none;none;none;Die Bäuerin flüstert ihrem Liebhaber ein Kompliment zu.;La esposa del granjero le susurra un cumplido a su amante.;La femme du fermier murmure un compliment à son amant.;La moglie del contadino sussurra un complimento al suo amante.;تُهمس زوجة المزارع بكلمة إطراء لعشيقها.;Жена фермера шепчет комплимент своему возлюбленному.;Дружина фермера шепоче комплімент своєму коханому.;אשת החקלאי לוחשת מחמאה לאהובה.;0-0 1-1 1-3 2-5 3-9 4-3 4-10 5-6 6-7 7-10;0-0 1-1 1-3 2-4 3-8 4-9 5-5 6-6 7-7 7-9;0-0 1-1 1-3 2-4 3-7 3-8 4-3 4-9 5-5 6-6 7-9;0-0 1-1 1-2 2-0 3-5 4-2 5-3 6-4 7-5;0-0 1-1 2-2 3-4 4-5 6-3 7-5;0-0 1-1 2-2 3-4 4-5 6-3 7-5;0-0 1-0 1-1 2-2 3-4 4-1 4-4 6-3 7-4;[0, 1];La esposa granjero;La femme fermier;La moglie contadino;تُهمس زوجة المزارع;Жена фермера;Дружина фермера;אשת החקלאי;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];MASCULINE;['MASCULINE'];UNKNOWN;['UNKNOWN'];UNKNOWN;['UNKNOWN'];FEMININE;['FEMININE']
5;43;Bäuerin;111;FEMININE;1;;Fachkraefte;Liebhaberin;romantic;FEMININE;4;;none;none;none;none;none;Die Bäuerin flüstert ihrer Liebhaberin ein Kompliment zu.;La esposa del granjero le susurra un cumplido a su amante.;La femme du fermier murmure un compliment à son amant.;La moglie del contadino sussurra un complimento al suo amante.;تُهمس زوجة المزارع بكلمة إطراء لعشيقها.;Жена фермера шепчет комплимент своему возлюбленному.;Дружина фермера шепоче комплімент своєму коханому.;אשת החקלאי לוחשת מחמאה לאהובה.;0-0 1-1 1-3 2-5 3-9 4-10 5-6 6-7 7-10;0-0 1-1 1-3 2-4 3-8 4-9 5-5 6-6 7-7 7-9;0-0 1-1 1-3 2-4 3-8 4-9 5-5 6-6 7-9;0-0 1-1 2-0 3-5 4-2 5-3 6-4 7-5;0-0 1-1 2-2 3-4 4-5 6-3 7-5;0-0 1-1 2-2 3-4 4-5 6-3 7-5;0-0 1-0 1-1 2-2 3-4 4-1 4-4 6-3 7-4;[0, 1];La esposa granjero;La femme fermier;La moglie contadino;تُهمس زوجة;Жена фермера;Дружина фермера;אשת החקלאי;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];UNKNOWN;['UNKNOWN'];UNKNOWN;['UNKNOWN'];UNKNOWN;['UNKNOWN'];FEMININE;['FEMININE']
6;44;Bauer;111;MASCULINE;2;;Fachkraefte;none;none;none;none;none;none;none;none;Leon;MASCULINE;Leon ist Bauer.;León es un granjero.;Léon est agriculteur.;Leon è un contadino.;ليون مزارع.;Леон — фермер.;Леон — фермер.;ליאון הוא חקלאי.;0-0 1-1 2-3;0-0 1-1 2-2;0-0 1-1 2-3;0-0 1-1 2-1;0-0 1-2 2-2;0-0 1-2 2-2;0-0 1-1 2-2;[1, 2];es granjero.;est agriculteur.;è contadino.;مزارع.;фермер.;фермер.;הוא חקלאי.;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
6;44;Bauer;111;MASCULINE;2;;Fachkraefte;none;none;none;none;none;none;none;none;Bente;n;Bente ist Bauer.;Bente es un granjero.;Bente est agriculteur.;Bente è un contadino.;بينتي مزارعة.;Бенте — фермер.;Бенте — фермер.;בנטה היא חקלאית.;0-0 1-1 2-3;0-0 1-1 2-2;0-0 1-1 2-3;0-0 1-1 2-1;0-0 1-2 2-2;0-0 1-2 2-2;0-0 1-1 2-2;[1, 2];es granjero.;est agriculteur.;è contadino.;مزارعة.;фермер.;фермер.;היא חקלאית.;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];FEMININE;['FEMININE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];FEMININE;['FEMININE']
6;44;Bäuerin;111;FEMININE;2;;Fachkraefte;none;none;none;none;none;none;none;none;Bente;n;Bente ist Bäuerin.;Bente es un granjero.;Bente est agriculteur.;Bente è un contadino.;بينتي مزارعة.;Бенте — фермер.;Бенте — фермер.;בנטה היא חקלאית.;0-0 1-1 1-2 2-3;0-0 1-1 2-2;0-0 1-1 1-2 2-3;0-0 2-1;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-2;[1, 2];es un granjero.;est agriculteur.;è un contadino.;مزارعة.;— фермер.;— фермер.;היא חקלאית.;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];FEMININE;['FEMININE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];FEMININE;['FEMININE']
6;44;Bäuerin;111;FEMININE;2;;Fachkraefte;none;none;none;none;none;none;none;none;Sophia;FEMININE;Sophia ist Bäuerin.;Sophia es una granjera.;Sophia est agricultrice.;Sophia è una contadina.;صوفيا مزارعة.;София — фермер.;Софія — фермерка.;סופיה היא חקלאית.;0-0 1-1 1-2 2-3;0-0 1-1 2-2;0-0 1-1 1-2 2-3;0-1 1-0 2-0 2-1;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-2;[1, 2];es una granjera.;est agricultrice.;è una contadina.;صوفيا مزارعة.;— фермер.;— фермерка.;היא חקלאית.;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];UNKNOWN;['UNKNOWN'];MASCULINE;['MASCULINE'];FEMININE;['FEMININE'];FEMININE;['FEMININE']
5;39;Erntehelfer;111;MASCULINE;1;;Helfer;Liebhaber;romantic;MASCULINE;4;;none;none;none;none;none;Der Erntehelfer liebt seinen Liebhaber.;El trabajador de la cosecha ama a su amada.;Le moissonneur aime son amant.;Il mietitore ama il suo amato.;يحب عامل الحصاد حبيبته.;Жнец любит свою возлюбленную.;Жнивар любить свою кохану.;פועל הקציר אוהב את אהובתו.;0-0 1-1 1-2 1-4 2-5 2-6 3-7 4-8;0-0 1-1 2-2 3-3 4-4;0-0 1-1 2-2 3-4 4-3 4-5;0-0 1-1 1-2 2-0 2-3 4-3;0-0 1-0 2-1 3-2 4-3;1-0 2-1 3-2 4-3;0-0 1-1 2-2 3-3 4-4;[0, 1];El trabajador de cosecha;Le moissonneur;Il mietitore;يحب عامل الحصاد;Жнец;Жнивар;פועל הקציר;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
5;39;Erntehelfer;111;MASCULINE;1;;Helfer;Liebhaberin;romantic;FEMININE;4;;none;none;none;none;none;Der Erntehelfer liebt seine Liebhaberin.;El trabajador de la cosecha ama a su amada.;Le moissonneur aime son amant.;Il mietitore ama il suo amato.;يحب عامل الحصاد حبيبته.;Жнец любит свою возлюбленную.;Жнивар любить свою кохану.;פועל הקציר אוהב את אהובתו.;0-0 1-1 1-2 1-4 2-5 3-7 4-6 4-8;0-0 1-1 2-2 3-3 4-4;0-0 1-1 2-2 3-3 3-4 4-5;0-0 1-2 2-0 2-3 3-3 4-3;0-0 1-0 2-1 3-2 4-3;1-0 2-1 3-2 4-3;0-0 1-1 2-2 3-3 4-4;[0, 1];El trabajador de cosecha;Le moissonneur;Il mietitore;يحب الحصاد;Жнец;Жнивар;פועל הקציר;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
