sentence_style;sentence_id;x_nom_sg;x_group;x_gender;x_idx;x_stereotypical;x_level;y_nom_sg;y_group;y_gender;y_idx;y_stereotypical;y_level;adjective;modified;name;name_gender;text;es;fr;it;ar;ru;uk;he;alignment_es;alignment_fr;alignment_it;alignment_ar;alignment_ru;alignment_uk;alignment_he;x_phrase_indices;x_phrase_es;x_phrase_fr;x_phrase_it;x_phrase_ar;x_phrase_ru;x_phrase_uk;x_phrase_he;x_gender_es;x_votes_es;x_gender_fr;x_votes_fr;x_gender_it;x_votes_it;x_gender_ar;x_votes_ar;x_gender_ru;x_votes_ru;x_gender_uk;x_votes_uk;x_gender_he;x_votes_he
5;43;Bauer;111;MASCULINE;1;;Fachkraefte;Liebhaber;romantic;MASCULINE;4;;none;none;none;none;none;Der Bauer flüstert seinem Liebhaber ein Kompliment zu.;El granjero susurra un cumplido a su amante.;Le fermier murmure un compliment à son amant.;Il contadino sussurra un complimento al suo amante.;يهمس المزارع بمجاملة لعشيقته.;Фермер шепчет комплимент своему возлюбленному.;Фермер шепоче комплімент своєму коханому.;החקלאי לוחש מחמאה לאהובתו.;0-0 1-1 2-2 3-6 4-7 5-3 6-4 7-7;0-0 1-1 2-2 3-6 4-1 4-7 5-3 6-4 7-5 7-7;0-0 1-1 2-2 3-5 3-6 4-1 4-7 5-3 6-4 7-7;0-1 1-1 2-0 4-1 5-2 6-2 7-3;0-0 1-0 2-1 3-3 4-4 6-2 7-4;0-0 1-0 2-1 3-3 4-4 5-2 6-2 7-4;0-0 1-0 2-1 3-3 4-0 4-3 5-2 6-2 7-3;[0, 1];El granjero;Le fermier;Il contadino;المزارع;Фермер;Фермер;החקלאי;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
5;43;Bauer;111;MASCULINE;1;;Fachkraefte;Liebhaberin;romantic;FEMININE;4;;none;none;none;none;none;Der Bauer flüstert seiner Liebhaberin ein Kompliment zu.;El granjero susurra un cumplido a su amante.;Le fermier murmure un compliment à son amant.;Il contadino sussurra un complimento al suo amante.;يهمس المزارع بمجاملة لعشيقته.;Фермер шепчет комплимент своему возлюбленному.;Фермер шепоче комплімент своєму коханому.;החקלאי לוחש מחמאה לאהובתו.;0-0 1-1 2-2 3-6 4-7 5-3 6-4 7-7;0-0 1-1 2-2 3-6 4-1 4-7 5-3 6-4 7-5 7-7;0-0 1-1 2-2 3-5 3-6 4-7 5-3 6-4 7-7;0-1 1-1 2-0 3-3 4-1 4-3 5-2 6-2 7-3;0-0 1-0 2-1 3-3 4-4 6-2 7-4;0-0 1-0 2-1 3-3 4-4 6-2 7-4;0-0 1-0 2-1 3-3 4-0 4-3 5-2 6-2 7-3;[0, 1];El granjero;Le fermier;Il contadino;المزارع;Фермер;Фермер;החקלאי;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
5;43;Bäuerin;111;FEMININE;1;;Fachkraefte;Liebhaber;romantic;MASCULINE;4;;none;none;none;none;none;Die Bäuerin flüstert ihrem Liebhaber ein Kompliment zu.;La esposa del granjero susurra un cumplido a su amante.;La femme du fermier murmure un compliment à son amant.;La moglie del contadino sussurra un complimento al suo amante.;تهمس زوجة المزارع بمجاملة لعشيقها.;Жена фермера шепчет комплимент своему возлюбленному.;Дружина фермера шепоче комплімент своєму коханому.;אשת החקלאי לוחשת מחמאה לאהובה.;0-0 1-1 1-3 2-4 3-8 4-9 5-5 6-6 7-7 7-9;0-0 1-1 1-3 2-4 3-8 4-9 5-5 6-6 7-7 7-9;0-0 1-1 1-3 2-4 3-7 3-8 4-3 4-9 5-5 6-6 7-9;0-0 1-1 2-0 3-4 4-2 5-3 6-3 7-4;0-0 1-1 2-2 3-4 4-5 6-3 7-5;0-0 1-1 2-2 3-4 4-5 6-3 7-5;0-0 1-0 1-1 2-2 3-4 4-1 4-4 6-3 7-4;[0, 1];La esposa granjero;La femme fermier;La moglie contadino;تهمس زوجة;Жена фермера;Дружина фермера;אשת החקלאי;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];UNKNOWN;['UNKNOWN'];UNKNOWN;['UNKNOWN'];UNKNOWN;['UNKNOWN'];FEMININE;['FEMININE']
5;43;Bäuerin;111;FEMININE;1;;Fachkraefte;Liebhaberin;romantic;FEMININE;4;;none;none;none;none;none;Die Bäuerin flüstert ihrer Liebhaberin ein Kompliment zu.;La esposa del granjero susurra un cumplido a su amante.;La femme du fermier murmure un compliment à son amant.;La moglie del contadino sussurra un complimento al suo amante.;تهمس زوجة المزارع بمجاملة لعشيقها.;Жена фермера шепчет комплимент своему возлюбленному.;Дружина фермера шепоче комплімент своєму коханому.;אשת החקלאי לוחשת מחמאה לאהובה.;0-0 1-1 1-3 2-4 3-8 4-9 5-5 6-6 7-9;0-0 1-1 1-3 2-4 3-8 4-9 5-5 6-6 7-7 7-9;0-0 1-1 1-3 2-4 3-8 4-9 5-5 6-6 7-9;0-0 1-1 2-0 3-4 4-2 4-4 5-3 6-3 7-4;0-0 1-1 2-2 3-4 4-5 6-3 7-5;0-0 1-1 2-2 3-4 4-5 6-3 7-5;0-0 1-0 1-1 2-2 3-4 4-1 4-4 6-3 7-4;[0, 1];La esposa granjero;La femme fermier;La moglie contadino;تهمس زوجة;Жена фермера;Дружина фермера;אשת החקלאי;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];UNKNOWN;['UNKNOWN'];UNKNOWN;['UNKNOWN'];UNKNOWN;['UNKNOWN'];FEMININE;['FEMININE']
6;44;Bauer;111;MASCULINE;2;;Fachkraefte;none;none;none;none;none;none;none;none;Leon;MASCULINE;Leon ist Bauer.;Leon es agricultor.;Leon est agriculteur.;Leon è un contadino.;ليون مزارع.;Леон — фермер.;Леон — фермер.;ליאון הוא חקלאי.;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-3;0-0 1-1 2-1;0-0 1-2 2-2;0-0 1-2 2-2;0-0 1-1 2-2;[1, 2];es agricultor.;est agriculteur.;è contadino.;مزارع.;фермер.;фермер.;הוא חקלאי.;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
6;44;Bauer;111;MASCULINE;2;;Fachkraefte;none;none;none;none;none;none;none;none;Bente;n;Bente ist Bauer.;Bente es agricultor.;Bente est agriculteur.;Bente è un contadino.;بينتي مزارع.;Бенте — фермер.;Бенте — фермер.;בנטה הוא חקלאי.;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-3;0-0 1-1 2-1;0-0 1-2 2-2;0-0 1-2 2-2;0-0 1-1 2-2;[1, 2];es agricultor.;est agriculteur.;è contadino.;مزارع.;фермер.;фермер.;הוא חקלאי.;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
6;44;Bäuerin;111;FEMININE;2;;Fachkraefte;none;none;none;none;none;none;none;none;Bente;n;Bente ist Bäuerin.;Bente es la esposa de un agricultor.;Bente est la femme d’un fermier.;Bente è la moglie di un contadino.;بينتي زوجة مزارع.;Бенте — жена фермера.;Бенте — дружина фермера.;בנטה היא אשת חקלאי.;0-0 1-1 2-6;0-0 1-1 2-5;0-0 1-1 1-2 2-3 2-6;0-0 1-1 2-1 2-2;0-0 1-2 2-3;0-0 1-2 2-3;0-0 1-1 2-2 2-3;[1, 2];es agricultor.;est fermier.;è la moglie contadino.;زوجة مزارع.;жена фермера.;дружина фермера.;היא אשת חקלאי.;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];FEMININE;['FEMININE'];UNKNOWN;['UNKNOWN'];UNKNOWN;['UNKNOWN'];UNKNOWN;['UNKNOWN'];FEMININE;['FEMININE']
6;44;Bäuerin;111;FEMININE;2;;Fachkraefte;none;none;none;none;none;none;none;none;Sophia;FEMININE;Sophia ist Bäuerin.;Sophia es agricultora.;Sophia est fermière.;Sophia è una contadina.;صوفيا مزارعة.;София — фермер.;Софія — фермерка.;סופיה היא חקלאית.;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 1-2 2-3;0-1 1-0 2-0 2-1;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-2;[1, 2];es agricultora.;est fermière.;è una contadina.;صوفيا مزارعة.;— фермер.;— фермерка.;היא חקלאית.;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];UNKNOWN;['UNKNOWN'];MASCULINE;['MASCULINE'];FEMININE;['FEMININE'];FEMININE;['FEMININE']
5;39;Erntehelfer;111;MASCULINE;1;;Helfer;Liebhaber;romantic;MASCULINE;4;;none;none;none;none;none;Der Erntehelfer liebt seinen Liebhaber.;El obrero de la cosecha ama a su amante.;Le travailleur de la récolte aime son amant.;Il coltivatore ama la sua amata.;عامل الحصاد يحب حبيبه.;Работник урожая любит свою возлюбленную.;Жнивар любить свою кохану.;העובד הקציר אוהב את אהובתו.;0-0 1-1 1-4 2-5 3-7 4-6 4-8;0-0 1-1 1-4 2-5 3-6 4-1 4-7;0-0 1-1 2-2 2-3 3-4 4-5;0-0 1-1 2-2 4-3;0-0 1-0 1-1 2-2 3-3 4-4;1-0 2-1 3-2 4-3;0-0 1-0 1-1 2-2 3-3 4-4;[0, 1];El obrero cosecha;Le travailleur récolte;Il coltivatore;عامل الحصاد;Работник урожая;Жнивар;העובד הקציר;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
5;39;Erntehelfer;111;MASCULINE;1;;Helfer;Liebhaberin;romantic;FEMININE;4;;none;none;none;none;none;Der Erntehelfer liebt seine Liebhaberin.;El obrero de la cosecha ama a su amante.;Le travailleur de la récolte aime son amant.;Il coltivatore ama la sua amata.;عامل الحصاد يحب حبيبه.;Работник урожая любит свою возлюбленную.;Жнивар любить свою кохану.;העובד הקציר אוהב את אהובתו.;0-0 1-1 1-2 1-4 2-5 3-7 4-6 4-8;0-0 1-1 1-4 2-5 3-6 4-1 4-4 4-7;0-0 1-1 2-2 3-3 3-4 4-5;0-0 1-1 2-2 3-3 4-3;0-0 1-0 1-1 2-2 3-3 4-4;1-0 2-1 3-2 4-3;0-0 1-0 1-1 2-2 3-3 4-4;[0, 1];El obrero de cosecha;Le travailleur récolte;Il coltivatore;عامل الحصاد;Работник урожая;Жнивар;העובד הקציר;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
