sentence_style;sentence_id;x_nom_sg;x_group;x_gender;x_idx;x_stereotypical;x_level;y_nom_sg;y_group;y_gender;y_idx;y_stereotypical;y_level;adjective;modified;name;name_gender;text;es;fr;it;ar;ru;uk;he;alignment_es;alignment_fr;alignment_it;alignment_ar;alignment_ru;alignment_uk;alignment_he;x_phrase_indices;x_phrase_es;x_phrase_fr;x_phrase_it;x_phrase_ar;x_phrase_ru;x_phrase_uk;x_phrase_he;x_gender_es;x_votes_es;x_gender_fr;x_votes_fr;x_gender_it;x_votes_it;x_gender_ar;x_votes_ar;x_gender_ru;x_votes_ru;x_gender_uk;x_votes_uk;x_gender_he;x_votes_he
5;43;Bauer;111;MASCULINE;1;;Fachkraefte;Liebhaber;romantic;MASCULINE;4;;none;none;none;none;none;Der Bauer flüstert seinem Liebhaber ein Kompliment zu.;El granjero le susurra un cumplido a su amante.;Le paysan murmure un compliment à son amant.;Il contadino sussurra un complimento al suo amante.;يهمس المزارع مجاملة لحبيبه.;Фермер шепчет комплимент своему возлюбленному.;Селянин шепоче комплімент своїй коханій.;האיכר לוחש מחמאה לאהובתו.;0-0 1-1 2-3 3-7 4-8 5-4 6-5 7-8;0-0 1-1 2-2 3-6 4-1 4-7 5-3 6-4 7-5 7-7;0-0 1-1 2-2 3-5 3-6 4-1 4-7 5-3 6-4 7-7;0-1 1-3 2-0 3-3 4-1 4-3 5-2 6-2 7-3;0-0 1-0 2-1 3-3 4-4 6-2 7-4;0-0 1-0 2-1 3-3 4-4 6-2 7-4;0-0 1-0 2-1 3-3 4-3 5-2 6-2 7-3;[0, 1];El granjero;Le paysan;Il contadino;المزارع لحبيبه.;Фермер;Селянин;האיכר;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
5;43;Bauer;111;MASCULINE;1;;Fachkraefte;Liebhaberin;romantic;FEMININE;4;;none;none;none;none;none;Der Bauer flüstert seiner Liebhaberin ein Kompliment zu.;El granjero le susurra un cumplido a su amante.;Le paysan murmure un compliment à son amante.;Il contadino sussurra un complimento alla sua amante.;يهمس المزارع مجاملة لحبيبه.;Фермер шепчет комплимент своему возлюбленному.;Селянин шепоче комплімент своїй коханій.;האיכר לוחש מחמאה לאהובתו.;0-0 1-1 2-3 3-7 4-8 5-4 6-5 7-8;0-0 1-1 2-2 3-6 4-7 5-3 6-4 7-5 7-7;0-0 1-1 2-2 3-5 3-6 4-1 4-7 5-3 6-4 7-7;0-1 1-1 2-0 3-3 4-1 4-3 5-2 6-2 7-3;0-0 1-0 2-1 3-3 4-4 6-2 7-4;0-0 1-0 2-1 3-3 4-4 6-2 7-4;0-0 1-0 2-1 3-3 4-3 5-2 6-2 7-3;[0, 1];El granjero;Le paysan;Il contadino;المزارع;Фермер;Селянин;האיכר;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
5;43;Bäuerin;111;FEMININE;1;;Fachkraefte;Liebhaber;romantic;MASCULINE;4;;none;none;none;none;none;Die Bäuerin flüstert ihrem Liebhaber ein Kompliment zu.;La campesina le susurra un cumplido a su amante.;La paysanne murmure un compliment à son amant.;La contadina sussurra un complimento al suo amante.;تهمس زوجة الفلاح مجاملة لعشيقها.;Жена фермера шепчет комплимент своему возлюбленному.;Дружина фермера шепоче комплімент своєму коханому.;אשתו של האיכר לוחשת מחמאה לאהובה.;0-0 1-1 2-2 2-3 3-7 4-8 5-4 6-5 7-6 7-8;0-0 1-1 2-2 3-6 4-7 5-3 6-4 7-5 7-7;0-0 1-1 2-2 3-5 3-6 4-7 5-3 6-4 7-7;0-0 1-1 2-0 2-3 3-4 4-2 4-4 7-4;0-0 1-1 2-2 3-4 4-5 6-3 7-5;0-0 1-1 2-2 3-4 4-5 6-3 7-5;0-0 1-2 2-3 3-5 4-5 6-4 7-5;[0, 1];La campesina;La paysanne;La contadina;تهمس زوجة;Жена фермера;Дружина фермера;אשתו האיכר;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];UNKNOWN;['UNKNOWN'];UNKNOWN;['UNKNOWN'];UNKNOWN;['UNKNOWN'];MASCULINE;['MASCULINE']
5;43;Bäuerin;111;FEMININE;1;;Fachkraefte;Liebhaberin;romantic;FEMININE;4;;none;none;none;none;none;Die Bäuerin flüstert ihrer Liebhaberin ein Kompliment zu.;La campesina le susurra un cumplido a su amante.;La paysanne murmure un compliment à son amante.;La contadina sussurra un complimento alla sua amante.;تهمس زوجة الفلاح مجاملة لعشيقها.;Жена фермера шепчет комплимент своему возлюбленному.;Дружина фермера шепоче комплімент своєму коханому.;אשתו של האיכר לוחשת מחמאה לאהובה.;0-0 1-1 2-3 3-7 4-8 5-4 6-5 7-8;0-0 1-1 2-2 3-6 4-7 5-3 6-4 7-5 7-7;0-0 1-1 2-2 3-6 4-7 5-3 6-4 7-7;0-0 1-1 2-0 2-3 4-4 7-4;0-0 1-1 2-2 3-4 4-5 6-3 7-5;0-0 1-1 2-2 3-4 4-5 6-3 7-5;0-0 1-2 2-3 3-5 4-5 6-4 7-5;[0, 1];La campesina;La paysanne;La contadina;تهمس زوجة;Жена фермера;Дружина фермера;אשתו האיכר;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];UNKNOWN;['UNKNOWN'];UNKNOWN;['UNKNOWN'];UNKNOWN;['UNKNOWN'];MASCULINE;['MASCULINE']
6;44;Bauer;111;MASCULINE;2;;Fachkraefte;none;none;none;none;none;none;none;none;Leon;MASCULINE;Leon ist Bauer.;Leon es granjero.;Léon est fermier.;Leon è un contadino.;ليون مزارع.;Леон - фермер.;Леон - фермер.;לאון הוא חקלאי.;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-3;0-0 1-1 2-1;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-2;[1, 2];es granjero.;est fermier.;è contadino.;مزارع.;- фермер.;- фермер.;הוא חקלאי.;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
6;44;Bauer;111;MASCULINE;2;;Fachkraefte;none;none;none;none;none;none;none;none;Bente;n;Bente ist Bauer.;Bente es granjero.;Bente est fermier.;Bente è un contadino.;بينتي هو مزارع.;Бенте - фермер.;Бенте - фермер.;בנטה הוא חקלאי.;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-3;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-2;[1, 2];es granjero.;est fermier.;è contadino.;هو مزارع.;- фермер.;- фермер.;הוא חקלאי.;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
6;44;Bäuerin;111;FEMININE;2;;Fachkraefte;none;none;none;none;none;none;none;none;Bente;n;Bente ist Bäuerin.;Bente es agricultora.;Bente est paysanne.;Bente è una contadina.;بينتي هو مزارع.;Бенте - фермер.;Бенте - фермер.;בנטה הוא חקלאי.;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 1-2 2-3;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-2;[1, 2];es agricultora.;est paysanne.;è una contadina.;هو مزارع.;- фермер.;- фермер.;הוא חקלאי.;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
6;44;Bäuerin;111;FEMININE;2;;Fachkraefte;none;none;none;none;none;none;none;none;Sophia;FEMININE;Sophia ist Bäuerin.;Sophia es agricultora.;Sophia est paysanne.;Sophia è una contadina.;صوفيا هي مزارعة.;София - фермер.;Софія займається сільським господарством.;סופיה היא חקלאית.;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 1-2 2-3;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-2 2-3;0-0 1-1 2-2;[1, 2];es agricultora.;est paysanne.;è una contadina.;هي مزارعة.;- фермер.;займається сільським господарством.;היא חקלאית.;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];MASCULINE;['MASCULINE'];NEUTER;['NEUTER'];FEMININE;['FEMININE']
5;39;Erntehelfer;111;MASCULINE;1;;Helfer;Liebhaber;romantic;MASCULINE;4;;none;none;none;none;none;Der Erntehelfer liebt seinen Liebhaber.;El cosechador ama a su amante.;Le moissonneur aime son amant.;Il mietitore ama il suo amante.;الحاصد يحب حبيبه.;Комбайн любит свою возлюбленную.;Харвестер любить свою кохану.;המקצרה אוהבת את המאהב שלו.;0-0 1-1 2-2 3-4 4-5;0-0 1-1 2-2 3-3 4-4;0-0 1-1 2-2 3-4 4-3 4-5;0-0 1-0 2-1 4-2;0-0 1-0 2-1 3-2 4-3;0-0 1-0 2-1 3-2 4-3;0-0 1-0 2-1 3-2 4-3 4-4;[0, 1];El cosechador;Le moissonneur;Il mietitore;الحاصد;Комбайн;Харвестер;המקצרה;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];FEMININE;['FEMININE']
5;39;Erntehelfer;111;MASCULINE;1;;Helfer;Liebhaberin;romantic;FEMININE;4;;none;none;none;none;none;Der Erntehelfer liebt seine Liebhaberin.;El cosechador ama a su amante.;Le moissonneur aime son amante.;Il mietitore ama la sua amante.;الحاصد يحب حبيبه.;Комбайн любит свою возлюбленную.;Харвестер любить свою кохану.;המקצרה אוהבת את המאהב שלו.;0-0 1-1 2-2 3-4 4-5;0-0 1-1 2-2 3-3 4-4;0-0 1-1 2-2 3-4 4-3 4-5;0-0 1-0 2-1 3-2 4-2;0-0 1-0 2-1 3-2 4-3;0-0 1-0 2-1 3-2 4-3;0-0 1-0 2-1 3-2 4-3 4-4;[0, 1];El cosechador;Le moissonneur;Il mietitore;الحاصد;Комбайн;Харвестер;המקצרה;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];FEMININE;['FEMININE']
