,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
FEMININE_precision,0.9141160347190498,0.964047442550037,0.8506224066390041,0.8880866425992779,0.7365269461077845,0.8196994991652755,0.7796019900497513
FEMININE_recall,0.629245283018868,0.8179245283018868,0.45125786163522014,0.3867924528301887,0.19339622641509435,0.30880503144654087,0.9855345911949686
FEMININE_f1_score,0.7453902030173217,0.8849948962232053,0.589685637970002,0.5388828039430449,0.30635118306351183,0.44860666971219726,0.8705555555555555
FEMININE_support,3180,3180,3180,3180,3180,3180,3180
MASCULINE_precision,0.7448275862068966,0.9056360708534622,0.6549576482311908,0.6910377358490566,0.5478927203065134,0.5976397238922289,0.9803418803418803
MASCULINE_recall,0.8830188679245283,0.8842767295597485,0.8267295597484277,0.8292452830188679,0.809433962264151,0.8440251572327044,0.7213836477987421
MASCULINE_f1_score,0.8080575539568347,0.8948289578361178,0.7308868501529052,0.7538593481989708,0.6534653465346534,0.6997783861295789,0.831159420289855
MASCULINE_support,3180,3180,3180,3180,3180,3180,3180
UNKNOWN_precision,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_recall,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_f1_score,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_support,0.0,0.0,0.0,0.0,0.0,0.0,
NEUTER_precision,,,,,0.0,0.0,
NEUTER_recall,,,,,0.0,0.0,
NEUTER_f1_score,,,,,0.0,0.0,
NEUTER_support,,,,,0.0,0.0,
