,language,sentence_style,total,correct,accuracy,true_error_count,unknown_count,error_m_to_f,error_m_to_u,error_f_to_m,error_f_to_u,error_d_to_m,error_d_to_f,error_d_to_u,error_m_to_n,error_f_to_n,scope,pairing
0,es,,6360,4809,0.7561320754716981,1150,401,188,184,962,217,0,0,0,0,0,main,
1,fr,,6360,5413,0.8511006289308176,390,557,97,271,293,286,0,0,0,0,0,main,
2,it,,6360,4064,0.6389937106918239,1637,659,252,299,1385,360,0,0,0,0,0,main,
3,ar,,6360,3867,0.6080188679245283,1334,1159,155,388,1179,771,0,0,0,0,0,main,
4,ru,,6360,3189,0.5014150943396226,2426,745,220,351,2124,394,0,0,0,35,47,main,
5,uk,,6360,3666,0.5764150943396227,2080,614,216,254,1807,360,0,0,0,26,31,main,
6,he,,6360,5428,0.8534591194968554,932,0,886,0,46,0,0,0,0,0,0,main,
7,es,1,1060,668,0.630188679245283,362,30,35,14,327,16,0,0,0,0,0,style_1,
8,fr,1,1060,927,0.8745283018867924,77,56,23,34,54,22,0,0,0,0,0,style_1,
9,it,1,1060,592,0.5584905660377358,374,94,43,46,331,48,0,0,0,0,0,style_1,
10,ar,1,1060,549,0.5179245283018868,362,149,16,56,346,93,0,0,0,0,0,style_1,
11,ru,1,1060,485,0.45754716981132076,422,153,44,74,366,79,0,0,0,4,8,style_1,
12,uk,1,1060,548,0.5169811320754717,390,122,59,52,324,70,0,0,0,2,5,style_1,
13,he,1,1060,899,0.8481132075471698,161,0,145,0,16,0,0,0,0,0,0,style_1,
14,es,2,1060,980,0.9245283018867925,49,31,12,13,37,18,0,0,0,0,0,style_2,
15,fr,2,1060,957,0.9028301886792452,58,45,18,26,40,19,0,0,0,0,0,style_2,
16,it,2,1060,764,0.720754716981132,205,91,32,40,173,51,0,0,0,0,0,style_2,
17,ar,2,1060,696,0.6566037735849056,128,236,9,58,119,178,0,0,0,0,0,style_2,
18,ru,2,1060,542,0.5113207547169811,372,146,34,65,328,81,0,0,0,2,8,style_2,
19,uk,2,1060,704,0.6641509433962264,242,114,33,44,203,70,0,0,0,4,2,style_2,
20,he,2,1060,926,0.8735849056603774,134,0,123,0,11,0,0,0,0,0,0,style_2,
21,es,3,1060,670,0.6320754716981132,348,42,40,19,308,23,0,0,0,0,0,style_3,
22,fr,3,1060,932,0.879245283018868,61,67,10,33,51,34,0,0,0,0,0,style_3,
23,it,3,1060,603,0.5688679245283019,387,70,52,34,335,36,0,0,0,0,0,style_3,
24,ar,3,1060,595,0.5613207547169812,331,134,21,50,310,84,0,0,0,0,0,style_3,
25,ru,3,1060,528,0.4981132075471698,455,77,32,33,414,44,0,0,0,4,5,style_3,
26,uk,3,1060,555,0.5235849056603774,446,59,25,26,417,33,0,0,0,1,3,style_3,
27,he,3,1060,927,0.8745283018867924,133,0,127,0,6,0,0,0,0,0,0,style_3,
28,es,4,1060,996,0.939622641509434,27,37,11,19,16,18,0,0,0,0,0,style_4,
29,fr,4,1060,959,0.9047169811320754,45,56,6,27,39,29,0,0,0,0,0,style_4,
30,it,4,1060,781,0.7367924528301887,198,81,34,35,164,46,0,0,0,0,0,style_4,
