,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
FEMININE_precision,0.8736208625877633,0.8580097087378641,0.8346361996392062,0.8608108108108108,0.7951142631993696,0.8750882145377559,0.6665822784810127
FEMININE_recall,0.5477987421383648,0.6669811320754717,0.43647798742138366,0.4006289308176101,0.3172955974842767,0.389937106918239,0.8279874213836478
FEMININE_f1_score,0.6733668341708543,0.7505307855626326,0.5731984307247573,0.5467811158798284,0.4535850752978197,0.5394822710463346,0.7385694249649369
FEMININE_support,3180,3180,3180,3180,3180,3180,3180
MASCULINE_precision,0.6951625287944715,0.7647584973166368,0.640911342248638,0.7057190449750139,0.606847984458475,0.6344497607655503,0.7730290456431536
MASCULINE_recall,0.8540880503144654,0.8066037735849056,0.8138364779874214,0.79937106918239,0.7858490566037736,0.8339622641509434,0.5858490566037736
MASCULINE_f1_score,0.7664738253139551,0.7851239669421487,0.717096148517595,0.7496313771748746,0.6848451630583722,0.7206521739130436,0.6665474060822898
MASCULINE_support,3180,3180,3180,3180,3180,3180,3180
UNKNOWN_precision,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_recall,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_f1_score,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_support,0.0,0.0,0.0,0.0,0.0,0.0,
NEUTER_precision,,,,,0.0,0.0,
NEUTER_recall,,,,,0.0,0.0,
NEUTER_f1_score,,,,,0.0,0.0,
NEUTER_support,,,,,0.0,0.0,
