,language,sentence_style,total,correct,accuracy,true_error_count,unknown_count,error_m_to_f,error_m_to_u,error_f_to_m,error_f_to_u,error_d_to_m,error_d_to_f,error_d_to_u,error_m_to_n,error_f_to_n,scope,pairing
0,es,,6360,4458,0.7009433962264151,1443,459,252,212,1191,247,0,0,0,0,0,main,
1,fr,,6360,4686,0.7367924528301887,1140,534,351,264,789,270,0,0,0,0,0,main,
2,it,,6360,3976,0.6251572327044025,1725,659,275,317,1450,342,0,0,0,0,0,main,
3,ar,,6360,3816,0.6,1266,1278,206,432,1060,846,0,0,0,0,0,main,
4,ru,,6360,3508,0.5515723270440251,1953,899,260,384,1619,515,0,0,0,37,37,main,
5,uk,,6360,3892,0.6119496855345912,1763,705,177,321,1528,384,0,0,0,30,28,main,
6,he,,6360,4496,0.7069182389937106,1864,0,1317,0,547,0,0,0,0,0,0,main,
7,es,1,1060,614,0.5792452830188679,389,57,38,26,351,31,0,0,0,0,0,style_1,
8,fr,1,1060,645,0.6084905660377359,355,60,62,31,293,29,0,0,0,0,0,style_1,
9,it,1,1060,571,0.5386792452830189,385,104,44,51,341,53,0,0,0,0,0,style_1,
10,ar,1,1060,557,0.5254716981132076,356,147,15,45,341,102,0,0,0,0,0,style_1,
11,ru,1,1060,513,0.4839622641509434,383,164,40,73,333,91,0,0,0,3,7,style_1,
12,uk,1,1060,536,0.5056603773584906,381,143,31,66,341,77,0,0,0,4,5,style_1,
13,he,1,1060,639,0.6028301886792453,421,0,217,0,204,0,0,0,0,0,0,style_1,
14,es,2,1060,841,0.7933962264150943,183,36,15,15,168,21,0,0,0,0,0,style_2,
15,fr,2,1060,948,0.8943396226415095,63,49,25,16,38,33,0,0,0,0,0,style_2,
16,it,2,1060,731,0.689622641509434,236,93,29,44,207,49,0,0,0,0,0,style_2,
17,ar,2,1060,706,0.6660377358490566,143,211,11,44,132,167,0,0,0,0,0,style_2,
18,ru,2,1060,597,0.5632075471698114,280,183,32,74,245,109,0,0,0,0,3,style_2,
19,uk,2,1060,668,0.630188679245283,260,132,28,55,223,77,0,0,0,4,5,style_2,
20,he,2,1060,850,0.8018867924528302,210,0,175,0,35,0,0,0,0,0,0,style_2,
21,es,3,1060,653,0.6160377358490566,358,49,63,25,295,24,0,0,0,0,0,style_3,
22,fr,3,1060,648,0.6113207547169811,349,63,81,37,268,26,0,0,0,0,0,style_3,
23,it,3,1060,590,0.5566037735849056,380,90,59,46,321,44,0,0,0,0,0,style_3,
24,ar,3,1060,571,0.5386792452830189,294,195,59,81,235,114,0,0,0,0,0,style_3,
25,ru,3,1060,565,0.5330188679245284,377,118,53,51,314,67,0,0,0,6,4,style_3,
26,uk,3,1060,599,0.5650943396226416,384,77,35,39,342,38,0,0,0,4,3,style_3,
27,he,3,1060,642,0.6056603773584905,418,0,220,0,198,0,0,0,0,0,0,style_3,
28,es,4,1060,942,0.8886792452830189,73,45,23,22,50,23,0,0,0,0,0,style_4,
29,fr,4,1060,960,0.9056603773584906,52,48,24,20,28,28,0,0,0,0,0,style_4,
30,it,4,1060,776,0.7320754716981132,177,107,39,44,138,63,0,0,0,0,0,style_4,
31,ar,4,1060,787,0.7424528301886792,78,195,9,65,69,130,0,0,0,0,0,style_4,
32,ru,4,1060,711,0.6707547169811321,237,112,35,49,194,63,0,0,0,6,2,style_4,
33,uk,4,1060,842,0.7943396226415095,147,71,14,37,129,34,0,0,0,2,2,style_4,
34,he,4,1060,869,0.819811320754717,191,0,174,0,17,0,0,0,0,0,0,style_4,
35,es,6,530,219,0.41320754716981134,201,110,72,56,129,54,0,0,0,0,0,names,neutral
36,fr,6,530,205,0.3867924528301887,193,132,109,68,84,64,0,0,0,0,0,names,neutral
37,it,6,530,231,0.4358490566037736,216,83,45,44,171,39,0,0,0,0,0,names,neutral
38,ar,6,530,184,0.3471698113207547,179,167,96,85,83,82,0,0,0,0,0,names,neutral
39,ru,6,530,223,0.4207547169811321,223,84,41,41,163,43,0,0,0,10,9,names,neutral
40,uk,6,530,227,0.42830188679245285,228,75,28,37,186,38,0,0,0,8,6,names,neutral
41,he,6,530,271,0.5113207547169811,259,0,225,0,34,0,0,0,0,0,0,names,neutral
42,es,6,265,195,0.7358490566037735,18,52,18,52,0,0,0,0,0,0,0,names,masculine
43,fr,6,265,175,0.660377358490566,19,71,19,71,0,0,0,0,0,0,0,names,masculine
44,it,6,265,206,0.7773584905660378,15,44,15,44,0,0,0,0,0,0,0,names,masculine
45,ar,6,265,213,0.8037735849056604,7,45,7,45,0,0,0,0,0,0,0,names,masculine
46,ru,6,265,204,0.769811320754717,32,29,23,29,0,0,0,0,0,9,0,names,masculine
47,uk,6,265,208,0.7849056603773585,21,36,14,36,0,0,0,0,0,7,0,names,masculine
48,he,6,265,132,0.4981132075471698,133,0,133,0,0,0,0,0,0,0,0,names,masculine
49,es,6,265,149,0.5622641509433962,42,74,0,0,42,74,0,0,0,0,0,names,feminine
50,fr,6,265,177,0.6679245283018868,25,63,0,0,25,63,0,0,0,0,0,names,feminine
51,it,6,265,138,0.5207547169811321,72,55,0,0,72,55,0,0,0,0,0,names,feminine
52,ar,6,265,131,0.49433962264150944,48,86,0,0,48,86,0,0,0,0,0,names,feminine
53,ru,6,265,66,0.2490566037735849,154,45,0,0,145,45,0,0,0,0,9,names,feminine
54,uk,6,265,78,0.2943396226415094,141,46,0,0,136,46,0,0,0,0,5,names,feminine
55,he,6,265,265,1.0,0,0,0,0,0,0,0,0,0,0,0,names,feminine
56,es,5,530,395,0.7452830188679245,118,17,15,9,103,8,0,0,0,0,0,romantic,same_gender
57,fr,5,530,457,0.8622641509433963,51,22,17,10,34,12,0,0,0,0,0,romantic,same_gender
58,it,5,530,351,0.6622641509433962,137,42,23,23,114,19,0,0,0,0,0,romantic,same_gender
59,ar,5,530,330,0.6226415094339622,72,128,7,36,65,92,0,0,0,0,0,romantic,same_gender
60,ru,5,530,307,0.5792452830188679,137,86,19,35,115,51,0,0,0,2,1,romantic,same_gender
61,uk,5,530,361,0.6811320754716981,104,65,13,25,89,40,0,0,0,1,1,romantic,same_gender
62,he,5,530,403,0.7603773584905661,127,0,88,0,39,0,0,0,0,0,0,romantic,same_gender
63,es,5,530,450,0.8490566037735849,61,19,8,7,53,12,0,0,0,0,0,romantic,diff_gender
64,fr,5,530,471,0.8886792452830189,33,26,14,11,19,15,0,0,0,0,0,romantic,diff_gender
65,it,5,530,382,0.720754716981132,107,41,21,21,86,20,0,0,0,0,0,romantic,diff_gender
66,ar,5,530,337,0.6358490566037736,89,104,2,31,87,73,0,0,0,0,0,romantic,diff_gender
67,ru,5,530,322,0.6075471698113207,130,78,17,32,110,46,0,0,0,1,2,romantic,diff_gender
68,uk,5,530,373,0.7037735849056603,97,60,14,26,82,34,0,0,0,0,1,romantic,diff_gender
69,he,5,530,425,0.8018867924528302,105,0,85,0,20,0,0,0,0,0,0,romantic,diff_gender
