,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
FEMININE_precision,0.8731193580742227,0.8573737373737373,0.8349397590361446,0.8621621621621621,0.7954186413902053,0.8780831571529246,0.6666666666666666
FEMININE_recall,0.5474842767295598,0.6672955974842767,0.4358490566037736,0.40125786163522015,0.31666666666666665,0.3918238993710692,0.8276729559748428
FEMININE_f1_score,0.6729802860456128,0.7504862953138814,0.5727272727272728,0.5476394849785408,0.45299145299145294,0.5418569254185693,0.7384960718294051
FEMININE_support,3180,3180,3180,3180,3180,3180,3180
MASCULINE_precision,0.6951625287944715,0.7652147971360382,0.6408223928659896,0.7067147613762487,0.6066488716330988,0.634992819530876,0.7728026533996684
MASCULINE_recall,0.8540880503144654,0.8066037735849056,0.8135220125786163,0.8009433962264151,0.7861635220125787,0.8342767295597484,0.5861635220125786
MASCULINE_f1_score,0.7664738253139551,0.7853643600734845,0.7169183871414716,0.7508844339622642,0.6848376934666484,0.7211198695297636,0.6666666666666666
MASCULINE_support,3180,3180,3180,3180,3180,3180,3180
UNKNOWN_precision,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_recall,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_f1_score,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_support,0.0,0.0,0.0,0.0,0.0,0.0,
NEUTER_precision,,,,,0.0,0.0,
NEUTER_recall,,,,,0.0,0.0,
NEUTER_f1_score,,,,,0.0,0.0,
NEUTER_support,,,,,0.0,0.0,
