,language,sentence_style,total,correct,accuracy,true_error_count,unknown_count,error_m_to_f,error_m_to_u,error_f_to_m,error_f_to_u,error_d_to_m,error_d_to_f,error_d_to_u,error_m_to_n,error_f_to_n,scope,pairing
0,es,,6360,4457,0.7007861635220126,1444,459,253,211,1191,248,0,0,0,0,0,main,
1,fr,,6360,4687,0.7369496855345912,1140,533,353,262,787,271,0,0,0,0,0,main,
2,it,,6360,3973,0.6246855345911949,1724,663,274,319,1450,344,0,0,0,0,0,main,
3,ar,,6360,3823,0.6011006289308176,1261,1276,204,429,1057,847,0,0,0,0,0,main,
4,ru,,6360,3507,0.5514150943396227,1953,900,259,384,1621,516,0,0,0,37,36,main,
5,uk,,6360,3899,0.6130503144654088,1755,706,173,324,1525,382,0,0,0,30,27,main,
6,he,,6360,4496,0.7069182389937106,1864,0,1316,0,548,0,0,0,0,0,0,main,
7,es,1,1060,613,0.5783018867924529,391,56,39,25,352,31,0,0,0,0,0,style_1,
8,fr,1,1060,646,0.6094339622641509,354,60,62,31,292,29,0,0,0,0,0,style_1,
9,it,1,1060,570,0.5377358490566038,386,104,44,51,342,53,0,0,0,0,0,style_1,
10,ar,1,1060,558,0.5264150943396226,356,146,15,44,341,102,0,0,0,0,0,style_1,
11,ru,1,1060,513,0.4839622641509434,384,163,40,73,334,90,0,0,0,3,7,style_1,
12,uk,1,1060,536,0.5056603773584906,382,142,31,68,342,74,0,0,0,4,5,style_1,
13,he,1,1060,638,0.6018867924528302,422,0,218,0,204,0,0,0,0,0,0,style_1,
14,es,2,1060,842,0.7943396226415095,182,36,15,15,167,21,0,0,0,0,0,style_2,
15,fr,2,1060,947,0.8933962264150943,64,49,26,16,38,33,0,0,0,0,0,style_2,
16,it,2,1060,731,0.689622641509434,236,93,29,44,207,49,0,0,0,0,0,style_2,
17,ar,2,1060,708,0.6679245283018868,142,210,10,44,132,166,0,0,0,0,0,style_2,
18,ru,2,1060,597,0.5632075471698114,281,182,33,73,245,109,0,0,0,0,3,style_2,
19,uk,2,1060,672,0.6339622641509434,256,132,27,55,221,77,0,0,0,4,4,style_2,
20,he,2,1060,850,0.8018867924528302,210,0,175,0,35,0,0,0,0,0,0,style_2,
21,es,3,1060,653,0.6160377358490566,358,49,63,25,295,24,0,0,0,0,0,style_3,
22,fr,3,1060,648,0.6113207547169811,348,64,82,38,266,26,0,0,0,0,0,style_3,
23,it,3,1060,590,0.5566037735849056,381,89,59,46,322,43,0,0,0,0,0,style_3,
24,ar,3,1060,571,0.5386792452830189,291,198,58,83,233,115,0,0,0,0,0,style_3,
25,ru,3,1060,566,0.5339622641509434,374,120,52,52,313,68,0,0,0,6,3,style_3,
26,uk,3,1060,602,0.5679245283018868,383,75,32,39,344,36,0,0,0,4,3,style_3,
27,he,3,1060,642,0.6056603773584905,418,0,220,0,198,0,0,0,0,0,0,style_3,
28,es,4,1060,942,0.8886792452830189,73,45,23,22,50,23,0,0,0,0,0,style_4,
29,fr,4,1060,961,0.9066037735849056,52,47,24,18,28,29,0,0,0,0,0,style_4,
30,it,4,1060,776,0.7320754716981132,175,109,38,45,137,64,0,0,0,0,0,style_4,
31,ar,4,1060,789,0.7443396226415094,78,193,10,63,68,130,0,0,0,0,0,style_4,
32,ru,4,1060,710,0.6698113207547169,238,112,34,49,196,63,0,0,0,6,2,style_4,
33,uk,4,1060,841,0.7933962264150943,146,73,14,38,128,35,0,0,0,2,2,style_4,
34,he,4,1060,871,0.8216981132075472,189,0,172,0,17,0,0,0,0,0,0,style_4,
35,es,6,530,218,0.41132075471698115,201,111,72,56,129,55,0,0,0,0,0,names,neutral
36,fr,6,530,204,0.3849056603773585,194,132,109,68,85,64,0,0,0,0,0,names,neutral
37,it,6,530,230,0.4339622641509434,215,85,45,45,170,40,0,0,0,0,0,names,neutral
38,ar,6,530,182,0.3433962264150943,179,169,96,85,83,84,0,0,0,0,0,names,neutral
39,ru,6,530,223,0.4207547169811321,223,84,41,41,163,43,0,0,0,10,9,names,neutral
40,uk,6,530,227,0.42830188679245285,228,75,28,37,186,38,0,0,0,8,6,names,neutral
41,he,6,530,270,0.5094339622641509,260,0,225,0,35,0,0,0,0,0,0,names,neutral
42,es,6,265,195,0.7358490566037735,18,52,18,52,0,0,0,0,0,0,0,names,masculine
43,fr,6,265,175,0.660377358490566,19,71,19,71,0,0,0,0,0,0,0,names,masculine
44,it,6,265,206,0.7773584905660378,15,44,15,44,0,0,0,0,0,0,0,names,masculine
45,ar,6,265,212,0.8,6,47,6,47,0,0,0,0,0,0,0,names,masculine
46,ru,6,265,204,0.769811320754717,32,29,23,29,0,0,0,0,0,9,0,names,masculine
