,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
FEMININE_precision,0.9630492676431425,0.9501011463250169,0.9245901639344263,0.9638084632516704,0.937192118226601,0.9579939991427346,0.7745650575839255
FEMININE_recall,0.9097484276729559,0.8861635220125786,0.7981132075471699,0.5443396226415095,0.47861635220125787,0.7028301886792453,0.9940251572327043
FEMININE_f1_score,0.9356403622250972,0.9170191994793362,0.8567088607594937,0.6957395498392283,0.6336386344712739,0.8108108108108107,0.8706789698388651
FEMININE_support,3180,3180,3180,3180,3180,3180,3180
MASCULINE_precision,0.978882833787466,0.9644459785985502,0.9046194749086075,0.8468440594059405,0.7070175438596491,0.8407871198568873,0.9916630100921456
MASCULINE_recall,0.9037735849056604,0.8786163522012579,0.8559748427672956,0.860691823899371,0.8871069182389937,0.8867924528301887,0.710691823899371
MASCULINE_f1_score,0.9398299542184435,0.9195326641434918,0.8796251413798675,0.853711790393013,0.7868898186889818,0.8631772268135904,0.8279904744458693
MASCULINE_support,3180,3180,3180,3180,3180,3180,3180
UNKNOWN_precision,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_recall,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_f1_score,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_support,0.0,0.0,0.0,0.0,0.0,0.0,
NEUTER_precision,,,,,0.0,0.0,
NEUTER_recall,,,,,0.0,0.0,
NEUTER_f1_score,,,,,0.0,0.0,
NEUTER_support,,,,,0.0,0.0,
