,language,sentence_style,total,correct,accuracy,true_error_count,unknown_count,error_m_to_f,error_m_to_u,error_f_to_m,error_f_to_u,error_d_to_m,error_d_to_f,error_d_to_u,error_m_to_n,error_f_to_n,scope,pairing
0,es,,6360,5767,0.9067610062893082,173,420,111,195,62,225,0,0,0,0,0,main,
1,fr,,6360,5612,0.8823899371069183,251,497,148,238,103,259,0,0,0,0,0,main,
2,it,,6360,5260,0.8270440251572327,494,606,207,251,287,355,0,0,0,0,0,main,
3,ar,,6360,4468,0.7025157232704402,560,1332,65,378,495,954,0,0,0,0,0,main,
4,ru,,6360,4343,0.6828616352201258,1311,706,102,234,1169,472,0,0,0,23,17,main,
5,uk,,6360,5055,0.7948113207547169,687,618,98,239,534,379,0,0,0,23,32,main,
6,he,,6360,5421,0.8523584905660377,939,0,920,0,19,0,0,0,0,0,0,main,
7,es,1,1060,1010,0.9528301886792453,14,36,8,17,6,19,0,0,0,0,0,style_1,
8,fr,1,1060,989,0.9330188679245283,30,41,22,22,8,19,0,0,0,0,0,style_1,
9,it,1,1060,923,0.870754716981132,61,76,29,32,32,44,0,0,0,0,0,style_1,
10,ar,1,1060,707,0.6669811320754717,112,241,7,58,105,183,0,0,0,0,0,style_1,
11,ru,1,1060,665,0.6273584905660378,254,141,25,60,223,81,0,0,0,4,2,style_1,
12,uk,1,1060,815,0.7688679245283019,116,129,14,57,91,72,0,0,0,3,8,style_1,
13,he,1,1060,911,0.8594339622641509,149,0,143,0,6,0,0,0,0,0,0,style_1,
14,es,2,1060,1021,0.9632075471698113,8,31,4,13,4,18,0,0,0,0,0,style_2,
15,fr,2,1060,991,0.9349056603773584,30,39,20,22,10,17,0,0,0,0,0,style_2,
16,it,2,1060,937,0.8839622641509434,55,68,27,26,28,42,0,0,0,0,0,style_2,
17,ar,2,1060,693,0.6537735849056604,117,250,4,60,113,190,0,0,0,0,0,style_2,
18,ru,2,1060,669,0.6311320754716981,261,130,23,59,233,71,0,0,0,4,1,style_2,
19,uk,2,1060,823,0.7764150943396226,112,125,13,61,88,64,0,0,0,4,7,style_2,
20,he,2,1060,936,0.8830188679245283,124,0,123,0,1,0,0,0,0,0,0,style_2,
21,es,3,1060,985,0.9292452830188679,31,44,27,22,4,22,0,0,0,0,0,style_3,
22,fr,3,1060,957,0.9028301886792452,44,59,30,30,14,29,0,0,0,0,0,style_3,
23,it,3,1060,889,0.8386792452830188,90,81,38,33,52,48,0,0,0,0,0,style_3,
24,ar,3,1060,835,0.7877358490566038,57,168,7,53,50,115,0,0,0,0,0,style_3,
25,ru,3,1060,815,0.7688679245283019,152,93,6,8,145,85,0,0,0,0,1,style_3,
26,uk,3,1060,934,0.8811320754716981,78,48,8,9,70,39,0,0,0,0,0,style_3,
27,he,3,1060,925,0.8726415094339622,135,0,131,0,4,0,0,0,0,0,0,style_3,
28,es,4,1060,1020,0.9622641509433962,15,25,15,14,0,11,0,0,0,0,0,style_4,
29,fr,4,1060,969,0.9141509433962264,31,60,23,33,8,27,0,0,0,0,0,style_4,
30,it,4,1060,898,0.8471698113207548,96,66,36,26,60,40,0,0,0,0,0,style_4,
31,ar,4,1060,855,0.8066037735849056,46,159,10,47,36,112,0,0,0,0,0,style_4,
32,ru,4,1060,854,0.8056603773584906,106,100,10,3,94,97,0,0,0,0,2,style_4,
33,uk,4,1060,923,0.870754716981132,67,70,5,9,61,61,0,0,0,0,1,style_4,
34,he,4,1060,942,0.8886792452830189,118,0,117,0,1,0,0,0,0,0,0,style_4,
35,es,6,530,342,0.6452830188679245,64,124,39,56,25,68,0,0,0,0,0,names,neutral
