,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
FEMININE_precision,0.8478835978835979,0.832637923041261,0.8140056022408964,0.846820809248555,0.7677261613691931,0.8122807017543859,0.6809903244166192
FEMININE_recall,0.6047169811320755,0.5647798742138365,0.4569182389937107,0.36855345911949683,0.19748427672955976,0.2911949685534591,0.7525157232704403
FEMININE_f1_score,0.7059471365638766,0.6730372868652802,0.5852970795568982,0.5135845749342682,0.31415707853926966,0.4287037037037037,0.7149686286226471
FEMININE_support,3180,3180,3180,3180,3180,3180,3180
MASCULINE_precision,0.7166850220264317,0.6958424507658644,0.6500379842998227,0.6732166890982504,0.54719703215169,0.5800875273522976,0.7234715390021083
MASCULINE_recall,0.8185534591194968,0.8,0.8072327044025157,0.7864779874213836,0.8349056603773585,0.8336477987421383,0.6474842767295598
MASCULINE_f1_score,0.7642395772166763,0.7442949093036864,0.7201571047832794,0.7254532269760697,0.6611055776892429,0.6841290322580645,0.6833720544308
MASCULINE_support,3180,3180,3180,3180,3180,3180,3180
UNKNOWN_precision,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_recall,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_f1_score,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_support,0.0,0.0,0.0,0.0,0.0,0.0,
NEUTER_precision,,,,,0.0,0.0,
NEUTER_recall,,,,,0.0,0.0,
NEUTER_f1_score,,,,,0.0,0.0,
NEUTER_support,,,,,0.0,0.0,
