,language,sentence_style,total,correct,accuracy,true_error_count,unknown_count,error_m_to_f,error_m_to_u,error_f_to_m,error_f_to_u,error_d_to_m,error_d_to_f,error_d_to_u,error_m_to_n,error_f_to_n,scope,pairing
0,es,,6360,4526,0.7116352201257862,1374,460,345,232,1029,228,0,0,0,0,0,main,
1,fr,,6360,4340,0.6823899371069182,1473,547,361,275,1112,272,0,0,0,0,0,main,
2,it,,6360,4020,0.6320754716981132,1714,626,332,281,1382,345,0,0,0,0,0,main,
3,ar,,6360,3673,0.5775157232704402,1426,1261,212,467,1214,794,0,0,0,0,0,main,
4,ru,,6360,3283,0.5161949685534591,2415,662,190,320,2197,342,0,0,0,15,13,main,
5,uk,,6360,3577,0.5624213836477987,2174,609,214,293,1919,316,0,0,0,22,19,main,
6,he,,6360,4452,0.7,1908,0,1121,0,787,0,0,0,0,0,0,main,
7,es,1,1060,615,0.5801886792452831,388,57,40,28,348,29,0,0,0,0,0,style_1,
8,fr,1,1060,616,0.5811320754716981,389,55,43,31,346,24,0,0,0,0,0,style_1,
9,it,1,1060,580,0.5471698113207547,392,88,53,43,339,45,0,0,0,0,0,style_1,
10,ar,1,1060,528,0.4981132075471698,369,163,11,69,358,94,0,0,0,0,0,style_1,
11,ru,1,1060,507,0.47830188679245284,418,135,37,63,378,72,0,0,0,2,1,style_1,
12,uk,1,1060,528,0.4981132075471698,410,122,33,63,370,59,0,0,0,3,4,style_1,
13,he,1,1060,608,0.5735849056603773,452,0,195,0,257,0,0,0,0,0,0,style_1,
14,es,2,1060,876,0.8264150943396227,153,31,31,18,122,13,0,0,0,0,0,style_2,
15,fr,2,1060,820,0.7735849056603774,189,51,35,23,154,28,0,0,0,0,0,style_2,
16,it,2,1060,744,0.7018867924528301,233,83,42,34,191,49,0,0,0,0,0,style_2,
17,ar,2,1060,632,0.5962264150943396,201,227,12,69,189,158,0,0,0,0,0,style_2,
18,ru,2,1060,546,0.5150943396226415,381,133,36,66,343,67,0,0,0,2,0,style_2,
19,uk,2,1060,637,0.6009433962264151,311,112,32,55,278,57,0,0,0,1,0,style_2,
20,he,2,1060,818,0.7716981132075472,242,0,155,0,87,0,0,0,0,0,0,style_2,
21,es,3,1060,642,0.6056603773584905,376,42,111,20,265,22,0,0,0,0,0,style_3,
22,fr,3,1060,624,0.5886792452830188,369,67,82,36,287,31,0,0,0,0,0,style_3,
23,it,3,1060,603,0.5688679245283019,378,79,75,34,303,45,0,0,0,0,0,style_3,
24,ar,3,1060,554,0.5226415094339623,309,197,47,86,262,111,0,0,0,0,0,style_3,
25,ru,3,1060,542,0.5113207547169811,460,58,31,31,424,27,0,0,0,2,3,style_3,
26,uk,3,1060,544,0.5132075471698113,464,52,24,27,433,25,0,0,0,4,3,style_3,
27,he,3,1060,623,0.5877358490566038,437,0,183,0,254,0,0,0,0,0,0,style_3,
28,es,4,1060,965,0.910377358490566,55,40,30,22,25,18,0,0,0,0,0,style_4,
29,fr,4,1060,913,0.8613207547169811,82,65,31,33,51,32,0,0,0,0,0,style_4,
30,it,4,1060,826,0.779245283018868,165,69,38,25,127,44,0,0,0,0,0,style_4,
31,ar,4,1060,785,0.7405660377358491,114,161,43,59,71,102,0,0,0,0,0,style_4,
32,ru,4,1060,615,0.5801886792452831,407,38,20,19,385,19,0,0,0,1,1,style_4,
33,uk,4,1060,625,0.589622641509434,381,54,22,24,350,30,0,0,0,5,4,style_4,
34,he,4,1060,880,0.8301886792452831,180,0,143,0,37,0,0,0,0,0,0,style_4,
35,es,6,530,206,0.3886792452830189,188,136,83,69,105,67,0,0,0,0,0,names,neutral
36,fr,6,530,205,0.3867924528301887,193,132,100,66,93,66,0,0,0,0,0,names,neutral
37,it,6,530,222,0.4188679245283019,201,107,61,53,140,54,0,0,0,0,0,names,neutral
38,ar,6,530,196,0.36981132075471695,186,148,71,73,115,75,0,0,0,0,0,names,neutral
39,ru,6,530,228,0.43018867924528303,222,80,20,42,193,38,0,0,0,4,5,names,neutral
40,uk,6,530,232,0.4377358490566038,230,68,50,33,172,35,0,0,0,4,4,names,neutral
41,he,6,530,272,0.5132075471698113,258,0,187,0,71,0,0,0,0,0,0,names,neutral
42,es,6,265,187,0.7056603773584905,19,59,19,59,0,0,0,0,0,0,0,names,masculine
43,fr,6,265,174,0.6566037735849056,25,66,25,66,0,0,0,0,0,0,0,names,masculine
44,it,6,265,198,0.7471698113207547,18,49,18,49,0,0,0,0,0,0,0,names,masculine
45,ar,6,265,219,0.8264150943396227,7,39,7,39,0,0,0,0,0,0,0,names,masculine
46,ru,6,265,208,0.7849056603773585,20,37,16,37,0,0,0,0,0,4,0,names,masculine
47,uk,6,265,208,0.7849056603773585,25,32,20,32,0,0,0,0,0,5,0,names,masculine
48,he,6,265,147,0.5547169811320755,118,0,118,0,0,0,0,0,0,0,0,names,masculine
49,es,6,265,173,0.6528301886792452,30,62,0,0,30,62,0,0,0,0,0,names,feminine
