model,language,accuracy_baseline,accuracy_pronoun,diff_pp
systran,es,0.9056603773584906,0.9358490566037736,3.018867924528301
systran,fr,0.8905660377358491,0.9084905660377358,1.7924528301886733
systran,it,0.7603773584905661,0.7830188679245284,2.264150943396226
systran,ar,0.4849056603773585,0.5886792452830188,10.377358490566035
systran,ru,0.4679245283018868,0.5037735849056604,3.5849056603773577
systran,uk,0.4764150943396226,0.5122641509433963,3.584905660377369
systran,he,0.5509433962264151,0.6216981132075472,7.075471698113212
deepl,es,0.630188679245283,0.9245283018867924,29.433962264150935
deepl,fr,0.8745283018867924,0.9028301886792452,2.8301886792452824
deepl,it,0.5584905660377358,0.720754716981132,16.226415094339618
deepl,ar,0.5179245283018868,0.6566037735849056,13.867924528301877
deepl,ru,0.4575471698113207,0.5113207547169811,5.377358490566042
deepl,uk,0.5169811320754717,0.6641509433962264,14.716981132075468
deepl,he,0.8481132075471698,0.8735849056603774,2.5471698113207597
google_llm,es,0.5783018867924529,0.7943396226415095,21.60377358490566
google_llm,fr,0.6094339622641509,0.8933962264150943,28.39622641509434
google_llm,it,0.5377358490566038,0.689622641509434,15.188679245283021
google_llm,ar,0.5264150943396226,0.6679245283018868,14.150943396226412
google_llm,ru,0.4839622641509434,0.5632075471698114,7.924528301886796
google_llm,uk,0.5056603773584906,0.6339622641509434,12.83018867924528
google_llm,he,0.6018867924528302,0.8018867924528302,20.000000000000007
microsoft,es,0.5801886792452831,0.8264150943396227,24.62264150943396
microsoft,fr,0.5811320754716981,0.7735849056603774,19.24528301886793
microsoft,it,0.5471698113207547,0.7018867924528301,15.471698113207545
microsoft,ar,0.4981132075471698,0.5962264150943396,9.811320754716979
microsoft,ru,0.4783018867924528,0.5150943396226415,3.6792452830188727
microsoft,uk,0.4981132075471698,0.6009433962264151,10.283018867924532
microsoft,he,0.5735849056603773,0.7716981132075472,19.811320754716988
gpt-4o,es,0.9528301886792452,0.9632075471698112,1.037735849056598
gpt-4o,fr,0.9330188679245284,0.9349056603773584,0.18867924528300772
gpt-4o,it,0.870754716981132,0.8839622641509434,1.3207547169811318
gpt-4o,ar,0.6669811320754717,0.6537735849056604,-1.3207547169811318
gpt-4o,ru,0.6273584905660378,0.6311320754716981,0.37735849056603765
gpt-4o,uk,0.7688679245283019,0.7764150943396226,0.7547169811320753
gpt-4o,he,0.8594339622641509,0.8830188679245283,2.358490566037741
google,es,0.5792452830188679,0.7933962264150943,21.41509433962264
google,fr,0.6084905660377359,0.8943396226415095,28.58490566037736
google,it,0.5386792452830189,0.689622641509434,15.094339622641506
google,ar,0.5254716981132076,0.6660377358490566,14.056603773584897
google,ru,0.4839622641509434,0.5632075471698114,7.924528301886796
google,uk,0.5056603773584906,0.630188679245283,12.452830188679243
google,he,0.6028301886792453,0.8018867924528302,19.90566037735849
