model,language,accuracy_baseline,accuracy_trans,diff_pp
systran,es,0.9056603773584906,0.9198113207547168,1.4150943396226245
systran,fr,0.8905660377358491,0.8924528301886793,0.18867924528301883
systran,it,0.7603773584905661,0.7547169811320755,-0.5660377358490565
systran,ar,0.4849056603773585,0.4952830188679245,1.037735849056598
systran,ru,0.4679245283018868,0.4943396226415094,2.6415094339622582
systran,uk,0.4764150943396226,0.469811320754717,-0.6603773584905603
systran,he,0.5509433962264151,0.5679245283018868,1.6981132075471694
deepl,es,0.630188679245283,0.6320754716981132,0.18867924528301883
deepl,fr,0.8745283018867924,0.879245283018868,0.4716981132075526
deepl,it,0.5584905660377358,0.5688679245283019,1.037735849056609
deepl,ar,0.5179245283018868,0.5613207547169812,4.3396226415094326
deepl,ru,0.4575471698113207,0.4981132075471698,4.056603773584911
deepl,uk,0.5169811320754717,0.5235849056603774,0.6603773584905714
deepl,he,0.8481132075471698,0.8745283018867924,2.6415094339622636
google_llm,es,0.5783018867924529,0.6160377358490566,3.7735849056603765
google_llm,fr,0.6094339622641509,0.6113207547169811,0.18867924528301883
google_llm,it,0.5377358490566038,0.5566037735849056,1.8867924528301883
google_llm,ar,0.5264150943396226,0.5386792452830189,1.226415094339628
google_llm,ru,0.4839622641509434,0.5339622641509434,4.999999999999999
google_llm,uk,0.5056603773584906,0.5679245283018868,6.226415094339622
google_llm,he,0.6018867924528302,0.6056603773584905,0.37735849056603765
microsoft,es,0.5801886792452831,0.6056603773584905,2.5471698113207486
microsoft,fr,0.5811320754716981,0.5886792452830188,0.7547169811320753
microsoft,it,0.5471698113207547,0.5688679245283019,2.169811320754722
microsoft,ar,0.4981132075471698,0.5226415094339623,2.4528301886792447
microsoft,ru,0.4783018867924528,0.5113207547169811,3.301886792452835
microsoft,uk,0.4981132075471698,0.5132075471698113,1.5094339622641506
microsoft,he,0.5735849056603773,0.5877358490566038,1.4150943396226467
gpt-4o,es,0.9528301886792452,0.929245283018868,-2.3584905660377187
gpt-4o,fr,0.9330188679245284,0.9028301886792452,-3.0188679245283123
gpt-4o,it,0.870754716981132,0.8386792452830188,-3.20754716981132
gpt-4o,ar,0.6669811320754717,0.7877358490566038,12.075471698113205
gpt-4o,ru,0.6273584905660378,0.7688679245283019,14.150943396226412
gpt-4o,uk,0.7688679245283019,0.8811320754716981,11.226415094339625
gpt-4o,he,0.8594339622641509,0.8726415094339622,1.3207547169811318
google,es,0.5792452830188679,0.6160377358490566,3.6792452830188727
google,fr,0.6084905660377359,0.6113207547169811,0.2830188679245227
google,it,0.5386792452830189,0.5566037735849056,1.7924528301886733
google,ar,0.5254716981132076,0.5386792452830189,1.3207547169811318
google,ru,0.4839622641509434,0.5330188679245284,4.905660377358495
google,uk,0.5056603773584906,0.5650943396226416,5.943396226415098
google,he,0.6028301886792453,0.6056603773584905,0.2830188679245227
