model,language,accuracy_baseline_pronoun,accuracy_trans_pronoun,diff_pp
systran,es,0.9358490566037736,0.9462264150943396,1.037735849056598
systran,fr,0.9084905660377358,0.9075471698113208,-0.09433962264150386
systran,it,0.7830188679245284,0.779245283018868,-0.37735849056603765
systran,ar,0.5886792452830188,0.6150943396226415,2.6415094339622636
systran,ru,0.5037735849056604,0.530188679245283,2.6415094339622636
systran,uk,0.5122641509433963,0.480188679245283,-3.207547169811326
systran,he,0.6216981132075472,0.710377358490566,8.867924528301884
deepl,es,0.9245283018867924,0.939622641509434,1.5094339622641617
deepl,fr,0.9028301886792452,0.9047169811320754,0.18867924528301883
deepl,it,0.720754716981132,0.7367924528301887,1.6037735849056656
deepl,ar,0.6566037735849056,0.7650943396226415,10.849056603773588
deepl,ru,0.5113207547169811,0.5264150943396226,1.5094339622641506
deepl,uk,0.6641509433962264,0.6056603773584905,-5.849056603773583
deepl,he,0.8735849056603774,0.8952830188679245,2.169811320754711
google_llm,es,0.7943396226415095,0.8886792452830189,9.433962264150942
google_llm,fr,0.8933962264150943,0.9066037735849056,1.3207547169811318
google_llm,it,0.689622641509434,0.7320754716981132,4.245283018867918
google_llm,ar,0.6679245283018868,0.7443396226415094,7.641509433962268
google_llm,ru,0.5632075471698114,0.6698113207547169,10.660377358490559
google_llm,uk,0.6339622641509434,0.7933962264150943,15.943396226415096
google_llm,he,0.8018867924528302,0.8216981132075472,1.9811320754716921
microsoft,es,0.8264150943396227,0.910377358490566,8.396226415094333
microsoft,fr,0.7735849056603774,0.8613207547169811,8.77358490566037
microsoft,it,0.7018867924528301,0.779245283018868,7.735849056603783
microsoft,ar,0.5962264150943396,0.7405660377358491,14.433962264150946
microsoft,ru,0.5150943396226415,0.5801886792452831,6.509433962264155
microsoft,uk,0.6009433962264151,0.589622641509434,-1.132075471698113
microsoft,he,0.7716981132075472,0.8301886792452831,5.849056603773583
gpt-4o,es,0.9632075471698112,0.9622641509433962,-0.09433962264149276
gpt-4o,fr,0.9349056603773584,0.9141509433962264,-2.075471698113207
gpt-4o,it,0.8839622641509434,0.8471698113207548,-3.6792452830188616
gpt-4o,ar,0.6537735849056604,0.8066037735849056,15.283018867924525
gpt-4o,ru,0.6311320754716981,0.8056603773584906,17.452830188679247
gpt-4o,uk,0.7764150943396226,0.870754716981132,9.433962264150942
gpt-4o,he,0.8830188679245283,0.8886792452830189,0.5660377358490565
google,es,0.7933962264150943,0.8886792452830189,9.528301886792455
google,fr,0.8943396226415095,0.9056603773584906,1.132075471698113
google,it,0.689622641509434,0.7320754716981132,4.245283018867918
google,ar,0.6660377358490566,0.7424528301886792,7.641509433962268
google,ru,0.5632075471698114,0.6707547169811321,10.754716981132074
google,uk,0.630188679245283,0.7943396226415095,16.415094339622648
google,he,0.8018867924528302,0.819811320754717,1.7924528301886733
