,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
FEMININE_precision,0.967741935483871,0.953012912482066,0.9006677796327212,0.8229166666666666,0.7016742770167428,0.6808510638297872,0.6284664216505179
FEMININE_recall,0.8773584905660378,0.8355345911949685,0.6786163522012578,0.2732704402515723,0.1449685534591195,0.14088050314465408,0.5915094339622642
FEMININE_f1_score,0.9203364670954973,0.8904155495978551,0.7740315638450501,0.41029272898961283,0.2402918947094084,0.23345492443981242,0.6094281548679734
FEMININE_support,3180,3180,3180,3180,3180,3180,3180
MASCULINE_precision,0.9445173998686802,0.9053350683148992,0.8276515151515151,0.6221618953603159,0.5317286652078774,0.5311178247734138,0.6141966141966142
MASCULINE_recall,0.9047169811320754,0.8751572327044025,0.8245283018867925,0.7927672955974843,0.840566037735849,0.8292452830188679,0.650314465408805
MASCULINE_f1_score,0.9241888853196274,0.8899904061400704,0.8260869565217392,0.697179203539823,0.6513951504812965,0.6475138121546962,0.6317397281197494
MASCULINE_support,3180,3180,3180,3180,3180,3180,3180
UNKNOWN_precision,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_recall,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_f1_score,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_support,0.0,0.0,0.0,0.0,0.0,0.0,
NEUTER_precision,,,,,0.0,0.0,
NEUTER_recall,,,,,0.0,0.0,
NEUTER_f1_score,,,,,0.0,0.0,
NEUTER_support,,,,,0.0,0.0,
