,language,sentence_style,total,correct,accuracy,true_error_count,unknown_count,error_m_to_f,error_m_to_u,error_f_to_m,error_f_to_u,error_d_to_m,error_d_to_f,error_d_to_u,error_m_to_n,error_f_to_n,scope,pairing
0,es,,6360,5667,0.8910377358490567,262,431,93,210,169,221,0,0,0,0,0,main,
1,fr,,6360,5440,0.8553459119496856,422,498,131,266,291,232,0,0,0,0,0,main,
2,it,,6360,4780,0.7515723270440252,784,796,238,320,546,476,0,0,0,0,0,main,
3,ar,,6360,3390,0.5330188679245284,1718,1252,187,472,1531,780,0,0,0,0,0,main,
4,ru,,6360,3134,0.4927672955974843,2621,605,196,276,2354,329,0,0,0,35,36,main,
5,uk,,6360,3085,0.485062893081761,2616,659,210,297,2328,362,0,0,0,36,42,main,
6,he,,6360,3949,0.6209119496855345,2411,0,1112,0,1299,0,0,0,0,0,0,main,
7,es,1,1060,960,0.9056603773584906,54,46,19,24,35,22,0,0,0,0,0,style_1,
8,fr,1,1060,944,0.8905660377358491,68,48,30,27,38,21,0,0,0,0,0,style_1,
9,it,1,1060,806,0.7603773584905661,137,117,36,54,101,63,0,0,0,0,0,style_1,
10,ar,1,1060,514,0.4849056603773585,375,171,19,66,356,105,0,0,0,0,0,style_1,
11,ru,1,1060,496,0.4679245283018868,435,129,42,61,382,68,0,0,0,5,6,style_1,
12,uk,1,1060,505,0.47641509433962265,443,112,57,52,377,60,0,0,0,4,5,style_1,
13,he,1,1060,584,0.5509433962264151,476,0,172,0,304,0,0,0,0,0,0,style_1,
14,es,2,1060,992,0.9358490566037736,35,33,11,15,24,18,0,0,0,0,0,style_2,
15,fr,2,1060,963,0.9084905660377358,56,41,25,26,31,15,0,0,0,0,0,style_2,
16,it,2,1060,830,0.7830188679245284,114,116,24,51,90,65,0,0,0,0,0,style_2,
17,ar,2,1060,624,0.5886792452830188,214,222,12,76,202,146,0,0,0,0,0,style_2,
18,ru,2,1060,534,0.5037735849056604,422,104,39,48,370,56,0,0,0,5,8,style_2,
19,uk,2,1060,543,0.5122641509433963,427,90,48,45,366,45,0,0,0,7,6,style_2,
20,he,2,1060,659,0.6216981132075472,401,0,164,0,237,0,0,0,0,0,0,style_2,
21,es,3,1060,975,0.9198113207547169,43,42,13,21,30,21,0,0,0,0,0,style_3,
22,fr,3,1060,946,0.8924528301886793,56,58,11,28,45,30,0,0,0,0,0,style_3,
23,it,3,1060,800,0.7547169811320755,162,98,58,35,104,63,0,0,0,0,0,style_3,
24,ar,3,1060,525,0.49528301886792453,367,168,39,70,328,98,0,0,0,0,0,style_3,
25,ru,3,1060,524,0.49433962264150944,484,52,22,27,441,25,0,0,0,11,10,style_3,
26,uk,3,1060,498,0.469811320754717,463,99,12,44,435,55,0,0,0,7,9,style_3,
27,he,3,1060,602,0.5679245283018868,458,0,167,0,291,0,0,0,0,0,0,style_3,
28,es,4,1060,1003,0.9462264150943396,27,30,7,17,20,13,0,0,0,0,0,style_4,
29,fr,4,1060,962,0.9075471698113208,41,57,4,30,37,27,0,0,0,0,0,style_4,
30,it,4,1060,826,0.779245283018868,137,97,48,27,89,70,0,0,0,0,0,style_4,
31,ar,4,1060,652,0.6150943396226415,199,209,26,69,173,140,0,0,0,0,0,style_4,
32,ru,4,1060,562,0.530188679245283,446,52,22,26,419,26,0,0,0,2,3,style_4,
33,uk,4,1060,509,0.480188679245283,454,97,12,45,434,52,0,0,0,3,5,style_4,
34,he,4,1060,753,0.710377358490566,307,0,136,0,171,0,0,0,0,0,0,style_4,
35,es,6,530,362,0.6830188679245283,46,122,18,57,28,65,0,0,0,0,0,names,neutral
36,fr,6,530,321,0.6056603773584905,88,121,26,64,62,57,0,0,0,0,0,names,neutral
37,it,6,530,331,0.6245283018867924,71,128,19,53,52,75,0,0,0,0,0,names,neutral
38,ar,6,530,211,0.39811320754716983,193,126,62,59,131,67,0,0,0,0,0,names,neutral
